symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
MRK	86	34556	33180	33580	33367	32834	32834	976	245	347	0	61	44	69	0	86	86	86	86	84	2
MS	86	34556	33180	33580	32657	31043	31043	976	971	2137	0	61	42	85	0	86	86	86	86	84	2
MSFT	86	34556	33180	34000	33537	33188	33188	556	0	0	0	36	0	0	0	86	86	86	86	84	2
MU	86	34556	33180	33994	33521	33186	33186	562	0	0	0	37	0	0	0	86	86	86	86	84	2
NFLX	86	34556	33180	33984	33526	33191	33191	572	0	0	0	37	0	0	0	86	86	86	86	84	2
NKE	86	34556	33180	33964	33531	33168	33168	592	2	13	0	37	2	9	0	86	86	86	86	84	2
NOC	86	34556	33180	32724	24109	13818	13818	1832	9535	19362	0	62	50	86	0	86	86	86	86	84	2
NOW	86	34556	33180	33612	33358	32123	32123	944	270	1057	0	59	17	43	0	86	86	86	86	84	2
NVDA	86	34556	33180	34024	34104	33208	33208	532	0	0	0	37	0	0	0	86	86	86	86	84	2
ORCL	86	34556	33180	33702	33521	33061	33061	854	59	120	0	54	33	58	0	86	86	86	86	84	2
OXY	86	34556	33180	33644	33488	32853	32853	912	140	327	0	57	34	63	0	86	86	86	86	84	2
PEP	86	34556	33180	33612	33262	32428	32428	944	366	752	0	59	42	80	0	86	86	86	86	84	2
PFE	86	34556	33180	33804	33508	33085	33085	752	57	97	0	47	24	40	0	86	86	86	86	84	2
PG	86	34556	33180	33554	33326	32496	32496	1002	286	684	0	63	42	81	0	86	86	86	86	84	2
PLTR	86	34556	33180	34000	33529	33187	33187	556	0	0	0	36	0	0	0	86	86	86	86	84	2
PM	86	34556	33180	33564	30513	27233	27233	992	3115	5947	0	62	45	86	0	86	86	86	86	84	2
PNC	86	34556	33180	33384	26158	20135	20135	1172	7470	13045	0	62	47	86	0	86	86	86	86	84	2
