month	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
2025-11	1900	753400	0	753400	753400	637619	637619	0	0	0	0	0	0	0	0	1800	100
2025-12	2200	875200	0	875200	742487	735607	735607	0	0	0	0	0	0	0	0	2100	100
2026-01	2000	812000	0	812000	702459	702459	702459	0	0	0	0	0	0	0	0	2000	0
2026-02	1900	771400	0	771671	705538	666524	665532	0	0	0	992	0	0	0	3	1900	0
2026-03	600	243600	0	243693	227686	209912	209522	0	0	0	390	0	0	0	1	600	0
