symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
LOW	86	34556	33180	33534	31704	26262	26262	1022	2148	6918	4770	2148	0	62	31	31	55	0	86	86	86	86	84	2
MA	86	34556	33180	33580	33370	31351	31351	976	498	1829	1331	498	0	61	31	31	55	0	86	86	86	86	84	2
MCD	86	34556	33180	33596	33424	32062	32062	960	412	1118	706	412	0	60	29	29	56	0	86	86	86	86	84	2
META	86	34556	33180	34010	33530	33187	33187	546	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
MMM	86	34556	33180	33554	31048	26425	26425	1002	2788	6755	3967	2788	0	62	36	36	50	0	86	86	86	86	84	2
MO	86	34556	33180	33564	33433	31244	31244	992	419	1936	1517	419	0	62	30	30	55	0	86	86	86	86	84	2
MPC	86	34556	33180	33098	27952	15905	15905	1458	5916	17275	11359	5916	0	63	32	32	56	0	86	86	86	86	84	2
MRK	86	34556	33180	33580	33622	32834	32834	976	182	347	165	182	0	61	32	32	37	0	86	86	86	86	84	2
MS	86	34556	33180	33580	33290	31043	31043	976	562	2137	1575	562	0	61	28	28	57	0	86	86	86	86	84	2
MSFT	86	34556	33180	34000	33537	33188	33188	556	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
MU	86	34556	33180	33994	33521	33186	33186	562	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
NFLX	86	34556	33180	33984	33526	33191	33191	572	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
NKE	86	34556	33180	33964	33531	33168	33168	592	2	13	11	2	0	37	2	2	7	0	86	86	86	86	84	2
NOC	86	34556	33180	32724	27847	13818	13818	1832	6005	19362	13357	6005	0	62	37	37	53	0	86	86	86	86	84	2
NOW	86	34556	33180	33612	33791	32123	32123	944	29	1057	1028	29	0	59	5	5	38	0	86	86	86	86	84	2
NVDA	86	34556	33180	34024	34104	33208	33208	532	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
ORCL	86	34556	33180	33702	33678	33061	33061	854	46	120	74	46	0	54	24	24	34	0	86	86	86	86	84	2
OXY	86	34556	33180	33644	33701	32853	32853	912	87	327	240	87	0	57	24	24	39	0	86	86	86	86	84	2
PEP	86	34556	33180	33612	33599	32428	32428	944	237	752	515	237	0	59	29	29	51	0	86	86	86	86	84	2
PFE	86	34556	33180	33804	33613	33085	33085	752	48	97	49	48	0	47	18	18	22	0	86	86	86	86	84	2
PG	86	34556	33180	33554	33652	32496	32496	1002	184	684	500	184	0	63	28	28	53	0	86	86	86	86	84	2
PLTR	86	34556	33180	34000	33529	33187	33187	556	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
PM	86	34556	33180	33564	31746	27233	27233	992	2106	5947	3841	2106	0	62	31	31	55	0	86	86	86	86	84	2
PNC	86	34556	33180	33384	28619	20135	20135	1172	5217	13045	7828	5217	0	62	34	34	54	0	86	86	86	86	84	2
PSX	86	34556	33180	33474	29058	20304	20304	1082	4794	12876	8082	4794	0	62	32	32	55	0	86	86	86	86	84	2
PYPL	86	34556	33180	33980	33516	33176	33176	576	0	5	5	0	0	36	0	0	2	0	86	86	86	86	84	2
QCOM	86	34556	33180	33724	33711	33062	33062	832	29	118	89	29	0	52	11	11	30	0	86	86	86	86	84	2
QQQ	86	34556	33180	34129	34086	33914	33914	498	380	434	54	380	0	8	1	1	2	0	86	86	86	86	84	2
RBLX	86	34556	33180	33596	33656	32478	32478	960	148	702	554	148	0	60	29	29	48	0	86	86	86	86	84	2
RF	86	34556	33180	30834	24383	9220	9220	3722	9469	23960	14491	9469	0	62	41	41	53	0	86	86	86	86	84	2
RTX	86	34556	33180	33548	33457	30243	30243	1008	427	2937	2510	427	0	63	31	31	50	0	86	86	86	86	84	2
SBUX	86	34556	33180	33676	33716	32885	32885	880	88	295	207	88	0	55	18	18	42	0	86	86	86	86	84	2
SCHW	86	34556	33180	33580	32600	29669	29669	976	1220	3511	2291	1220	0	61	32	32	51	0	86	86	86	86	84	2
SHOP	86	34556	33180	33644	33671	32992	32992	912	69	189	120	69	0	57	16	16	30	0	86	86	86	86	84	2
SLB	86	34556	33180	33580	33464	31281	31281	976	404	1899	1495	404	0	61	25	25	58	0	86	86	86	86	84	2
SNOW	86	34556	33180	33724	33640	33015	33015	832	52	165	113	52	0	52	20	20	30	0	86	86	86	86	84	2
SOFI	86	34556	33180	34000	33518	33183	33183	556	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
SPGI	86	34556	33180	32368	26358	13974	13974	2188	7478	19206	11728	7478	0	63	35	35	53	0	86	86	86	86	84	2
SPY	86	34556	33180	34457	34419	34355	34355	144	0	0	0	0	0	9	0	0	0	0	86	86	86	86	84	2
TFC	86	34556	33180	32968	25913	14251	14251	1588	7923	18929	11006	7923	0	63	41	41	51	0	86	86	86	86	84	2
TGT	86	34556	33180	33724	33653	33032	33032	832	55	149	94	55	0	52	18	18	31	0	86	86	86	86	84	2
TSLA	86	34556	33180	34034	33539	33215	33215	522	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
UBER	86	34556	33180	33948	33542	33170	33170	608	7	12	5	7	0	38	7	7	5	0	86	86	86	86	84	2
UNH	86	34556	33180	33984	33519	33185	33185	572	2	2	0	2	0	37	1	1	0	0	86	86	86	86	84	2
UPST	86	34556	33180	33580	33472	32396	32396	976	348	784	436	348	0	61	25	25	47	0	86	86	86	86	84	2
USB	86	34556	33180	33554	30436	23036	23036	1002	3400	10144	6744	3400	0	62	31	31	55	0	86	86	86	86	84	2
V	86	34556	33180	33654	33747	32918	32918	902	74	263	189	74	0	57	15	15	43	0	86	86	86	86	84	2
VLO	86	34556	33180	33564	32043	26751	26751	992	1809	6429	4620	1809	0	62	28	28	58	0	86	86	86	86	84	2
WFC	86	34556	33180	33548	33649	32576	32576	1008	171	604	433	171	0	63	29	29	54	0	86	86	86	86	84	2
WMT	86	34556	33180	33964	33519	33184	33184	592	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
XOM	86	34556	33180	33692	33642	33006	33006	864	50	174	124	50	0	54	22	22	46	0	86	86	86	86	84	2
