AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
AMD
NFLX
AVGO
INTC
QCOM
CSCO
ORCL
ADBE
CRM
NOW
UBER
ABNB
PYPL
SHOP
MU
COIN
SNOW
PLTR
RBLX
HOOD
SOFI
AFRM
UPST
JPM
BAC
WFC
C
GS
MS
SCHW
AXP
V
MA
BLK
SPGI
ICE
CME
USB
PNC
TFC
RF
KEY
ALLY
XOM
CVX
COP
EOG
SLB
HAL
MPC
VLO
PSX
OXY
BA
GE
CAT
DE
MMM
HON
LMT
NOC
RTX
ETN
UNH
JNJ
PFE
MRK
LLY
ABBV
AMGN
GILD
BMY
CVS
WMT
COST
TGT
HD
LOW
MCD
SBUX
DIS
NKE
CMG
KO
PEP
PG
CL
MO
PM
KHC
GIS
SPY
QQQ
