symbol	expectedSymbolDays	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33608	33134	33190	32800	948	1422	1366	390	63	65	86	1	84	2
ABBV	86	34556	33532	32607	31825	31825	1024	1949	2731	0	64	65	86	0	84	2
ABNB	86	34556	33532	31453	30214	30214	1024	3103	4342	0	64	65	86	0	84	2
ADBE	86	34556	33532	33507	33163	33163	1024	1049	1393	0	64	65	86	0	84	2
AFRM	86	34556	33548	33185	32637	32637	1008	1371	1919	0	63	65	86	0	84	2
ALLY	86	34556	32582	22644	14235	14235	1974	11912	20321	0	64	65	86	0	84	2
AMD	86	34556	33582	33521	33188	33188	974	1035	1368	0	64	65	86	0	84	2
AMGN	86	34556	33532	31620	30121	30121	1024	2936	4435	0	64	65	86	0	84	2
AMZN	86	34556	33588	34091	33190	33190	968	1035	1366	0	63	65	86	0	84	2
AVGO	86	34556	33598	33521	33186	33186	958	1035	1370	0	63	65	86	0	84	2
AXP	86	34556	33548	32440	31420	31420	1008	2116	3136	0	63	65	86	0	84	2
BA	86	34556	33548	33514	33177	33177	1008	1042	1379	0	63	65	86	0	84	2
BAC	86	34556	33542	33511	33174	33174	1014	1045	1382	0	64	65	86	0	84	2
BLK	86	34556	33382	25456	20538	20538	1174	9100	14018	0	64	65	86	0	84	2
BMY	86	34556	33532	32729	32086	32086	1024	1827	2470	0	64	65	86	0	84	2
C	86	34556	33532	33366	32896	32896	1024	1190	1660	0	64	65	86	0	84	2
CAT	86	34556	33548	33402	32978	32978	1008	1154	1578	0	63	65	86	0	84	2
CL	86	34556	33452	25980	20924	20924	1104	8576	13632	0	64	65	86	0	84	2
CME	86	34556	32858	21809	14755	14755	1698	12747	19801	0	63	64	86	0	84	2
CMG	86	34556	33532	33300	32849	32849	1024	1256	1707	0	64	65	86	0	84	2
COIN	86	34556	33558	33527	33186	33186	998	1029	1370	0	63	65	86	0	84	2
COP	86	34556	33558	31776	30213	30213	998	2780	4343	0	63	65	86	0	84	2
COST	86	34556	33532	33514	33175	33175	1024	1042	1381	0	64	65	86	0	84	2
CRM	86	34556	33542	33486	33149	33149	1014	1070	1407	0	64	65	86	0	84	2
CSCO	86	34556	33532	33286	32888	32888	1024	1270	1668	0	64	65	86	0	84	2
CVS	86	34556	33558	32107	30864	30864	998	2449	3692	0	63	65	86	0	84	2
CVX	86	34556	33548	33418	32974	32974	1008	1138	1582	0	63	64	86	0	84	2
DE	86	34556	33542	30430	27928	27928	1014	4126	6628	0	64	65	86	0	84	2
DIS	86	34556	33554	33384	33014	33014	1002	1172	1542	0	63	65	86	0	84	2
EOG	86	34556	33482	26283	21514	21514	1074	8273	13042	0	64	65	86	0	84	2
ETN	86	34556	33564	27269	23871	23871	992	7287	10685	0	62	65	86	0	84	2
GE	86	34556	33532	32897	32036	32036	1024	1659	2520	0	64	65	86	0	84	2
GILD	86	34556	33548	29606	27574	27574	1008	4950	6982	0	63	66	86	0	84	2
GIS	86	34556	33528	27632	23564	23564	1028	6924	10992	0	63	65	86	0	84	2
GOOGL	86	34556	33598	33522	33188	33188	958	1034	1368	0	63	65	86	0	84	2
GS	86	34556	33542	33498	33139	33139	1014	1058	1417	0	64	65	86	0	84	2
HAL	86	34556	33542	31204	29454	29454	1014	3352	5102	0	64	65	86	0	84	2
HD	86	34556	33532	33255	32787	32787	1024	1301	1769	0	64	65	86	0	84	2
HON	86	34556	33532	28171	24530	24530	1024	6385	10026	0	64	65	86	0	84	2
HOOD	86	34556	33542	33517	33183	33183	1014	1039	1373	0	64	65	86	0	84	2
ICE	86	34556	30112	16888	8977	8977	4444	17668	25579	0	64	64	86	0	84	2
INTC	86	34556	33558	33517	33183	33183	998	1039	1373	0	63	65	86	0	84	2
JNJ	86	34556	33542	33149	32609	32609	1014	1407	1947	0	64	65	86	0	84	2
JPM	86	34556	33532	33510	33171	33171	1024	1046	1385	0	64	65	86	0	84	2
KEY	86	34556	32752	20502	14832	14832	1804	14054	19724	0	64	65	86	0	84	2
KHC	86	34556	33516	31192	29454	29454	1040	3364	5102	0	65	65	86	0	84	2
KO	86	34556	33532	33430	33029	33029	1024	1126	1527	0	64	65	86	0	84	2
LLY	86	34556	33542	33507	33163	33163	1014	1049	1393	0	64	65	86	0	84	2
LMT	86	34556	33532	31960	30582	30582	1024	2596	3974	0	64	65	86	0	84	2
LOW	86	34556	33502	28849	26262	26262	1054	5707	8294	0	64	65	86	0	84	2
MA	86	34556	33548	32471	31351	31351	1008	2085	3205	0	63	65	86	0	84	2
MCD	86	34556	33548	32845	32062	32062	1008	1711	2494	0	63	65	86	0	84	2
META	86	34556	33582	33530	33187	33187	974	1026	1369	0	64	65	86	0	84	2
MMM	86	34556	33522	29022	26425	26425	1034	5534	8131	0	64	65	86	0	84	2
MO	86	34556	33532	32451	31244	31244	1024	2105	3312	0	64	65	86	0	84	2
MPC	86	34556	33026	22677	15905	15905	1530	11879	18651	0	65	65	86	0	84	2
MRK	86	34556	33532	33257	32834	32834	1024	1299	1722	0	64	65	86	0	84	2
MS	86	34556	33548	32393	31043	31043	1008	2163	3513	0	63	65	86	0	84	2
MSFT	86	34556	33582	33521	33188	33188	974	1035	1368	0	64	65	86	0	84	2
MU	86	34556	33566	33521	33186	33186	990	1035	1370	0	65	65	86	0	84	2
NFLX	86	34556	33588	33526	33191	33191	968	1030	1365	0	64	65	86	0	84	2
NKE	86	34556	33542	33514	33168	33168	1014	1042	1388	0	64	65	86	0	84	2
NOC	86	34556	32632	21796	13818	13818	1924	12760	20738	0	64	65	86	0	84	2
NOW	86	34556	33516	32936	32123	32123	1040	1620	2433	0	65	65	86	0	84	2
NVDA	86	34556	33686	34104	33208	33208	870	1022	1348	0	65	65	86	0	84	2
ORCL	86	34556	33526	33452	33061	33061	1030	1104	1495	0	65	65	86	0	84	2
OXY	86	34556	33516	33327	32853	32853	1040	1229	1703	0	65	65	86	0	84	2
PEP	86	34556	33548	33086	32428	32428	1008	1470	2128	0	63	65	86	0	84	2
PFE	86	34556	33558	33451	33085	33085	998	1105	1471	0	63	65	86	0	84	2
PG	86	34556	33522	33198	32496	32496	1034	1358	2060	0	65	65	86	0	84	2
PLTR	86	34556	33572	33529	33187	33187	984	1027	1369	0	64	65	86	0	84	2
PM	86	34556	33532	29946	27233	27233	1024	4610	7323	0	64	65	86	0	84	2
PNC	86	34556	33352	25133	20135	20135	1204	9423	14421	0	64	65	86	0	84	2
PSX	86	34556	33442	25392	20304	20304	1114	9164	14252	0	64	65	86	0	84	2
PYPL	86	34556	33532	33516	33176	33176	1024	1040	1380	0	64	65	86	0	84	2
QCOM	86	34556	33532	33437	33062	33062	1024	1119	1494	0	64	65	86	0	84	2
QQQ	86	34556	34129	34086	33914	33914	498	541	645	0	8	51	77	0	84	2
RBLX	86	34556	33532	33092	32478	32478	1024	1464	2078	0	64	65	86	0	84	2
RF	86	34556	30576	17975	9220	9220	3980	16581	25336	0	65	65	86	0	84	2
RTX	86	34556	33516	31861	30243	30243	1040	2695	4313	0	65	65	86	0	84	2
SBUX	86	34556	33532	33334	32885	32885	1024	1222	1671	0	64	65	86	0	84	2
SCHW	86	34556	33548	31316	29669	29669	1008	3240	4887	0	63	65	86	0	84	2
SHOP	86	34556	33532	33386	32992	32992	1024	1170	1564	0	64	65	86	0	84	2
SLB	86	34556	33516	32439	31281	31281	1040	2117	3275	0	65	65	86	0	84	2
