month	symbols	scope_symbol_days	expected_1m_slots_calendar	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows	early_close_days_in_scope_sum	full_close_days_in_scope_sum
2025-11	100	1800	730800	618748	84.67	731940	100.16	730364	99.94	618748	84.67	100.0	85958729	1397056532	730364	85958729	0	0
2025-12	100	2100	852600	717319	84.13	718305	84.25	852600	100.0	717319	84.13	100.0	84154081	32478970	852600	74695055	0	0
2026-01	100	2000	812000	702459	86.51	702459	86.51	812000	100.0	702459	86.51	100.0	87286912	22809832	812000	9573986	0	0
2026-02	100	1900	771400	666524	86.4	705523	91.46	770141	99.84	666524	86.4	100.0	88171280	777926130	770141	76451798	0	0
2026-03	100	600	243600	174632	71.69	187086	76.8	203093	83.37	174632	71.69	100.0	24658309	262952713	203093	24658309	0	0
