month	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
2025-11	1900	753400	723000	753400	753400	637619	637619	0	0	86017	0	0	0	1179	0	1800	100
2025-12	2200	875200	840000	875200	745649	735607	735607	0	97684	105118	0	0	1316	1432	0	2100	100
2026-01	2000	812000	780000	812000	702459	702459	702459	0	78189	78189	0	0	1221	1221	0	2000	0
2026-02	1900	771400	741000	771671	705538	666524	666524	0	42484	74822	0	0	605	1135	0	1900	0
2026-03	600	243600	234000	243693	227686	209912	209912	0	8475	24278	0	0	111	374	0	600	0
