month	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
2025-11	1900	753400	723000	753400	753728	637619	637619	0	0	86017	85940	77	0	0	0	1	1178	0	1900	1898	1900	1900	1800	100
2025-12	2200	875200	840000	851278	850867	735607	735607	23922	11346	105118	93772	11346	0	1228	136	136	1296	0	2200	2200	2200	2200	2100	100
2026-01	2000	812000	780000	781260	711764	702459	702459	30740	70772	78189	7417	70772	0	1700	1103	1103	118	0	2000	2000	2000	2000	2000	0
2026-02	1900	771400	741000	740463	697674	666524	666524	31022	43820	74822	31002	43820	0	1777	646	646	530	0	1900	1900	1900	1900	1900	0
2026-03	600	243600	234000	234511	226540	209912	209912	9120	9255	24278	15023	9255	0	490	128	128	263	0	600	600	600	600	600	0
