dayIso	month	symbol	type	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-03	2025-12	CMG	open	406	390	406	389	389	389	0	1	1	0
2025-12-03	2025-12	COP	open	406	390	406	361	361	361	0	29	29	0
2025-12-03	2025-12	CVS	open	406	390	406	375	375	375	0	15	15	0
2025-12-03	2025-12	CVX	open	406	390	406	385	385	385	0	5	5	0
2025-12-03	2025-12	DE	open	406	390	406	339	339	339	0	51	51	0
2025-12-03	2025-12	DIS	open	406	390	406	387	387	387	0	3	3	0
2025-12-03	2025-12	EOG	open	406	390	406	227	227	227	0	163	163	0
2025-12-03	2025-12	ETN	open	406	390	406	268	268	268	0	122	122	0
2025-12-03	2025-12	GE	open	406	390	406	361	361	361	0	29	29	0
2025-12-03	2025-12	GILD	open	406	390	406	285	285	285	0	105	105	0
2025-12-03	2025-12	GIS	open	406	390	406	306	306	306	0	84	84	0
2025-12-03	2025-12	HAL	open	406	390	406	341	341	341	0	49	49	0
2025-12-03	2025-12	HD	open	406	390	406	389	389	389	0	1	1	0
2025-12-03	2025-12	HON	open	406	390	406	236	236	236	0	154	154	0
2025-12-03	2025-12	ICE	open	406	390	406	92	92	92	0	298	298	0
2025-12-03	2025-12	JNJ	open	406	390	406	371	371	371	0	19	19	0
2025-12-03	2025-12	KEY	open	406	390	406	185	185	185	0	205	205	0
2025-12-03	2025-12	KHC	open	406	390	406	320	320	320	0	70	70	0
2025-12-03	2025-12	KO	open	406	390	406	387	387	387	0	3	3	0
2025-12-03	2025-12	LLY	open	406	390	406	389	389	389	0	1	1	0
2025-12-03	2025-12	LMT	open	406	390	406	363	363	363	0	27	27	0
2025-12-03	2025-12	LOW	open	406	390	406	286	286	286	0	104	104	0
2025-12-03	2025-12	MA	open	406	390	406	360	360	360	0	30	30	0
2025-12-03	2025-12	MCD	open	406	390	406	382	382	382	0	8	8	0
2025-12-03	2025-12	MMM	open	406	390	406	336	336	336	0	54	54	0
