month	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
2025-11	1900	753400	723000	753400	753400	637619	637619	0	0	86017	86017	0	0	0	0	0	1179	0	1900	1898	1900	1900	1800	100
2025-12	2200	875200	840000	875200	864389	735603	735607	0	0	105122	105122	0	0	0	0	0	1433	0	2200	2200	2200	2200	2100	100
2026-01	2000	812000	780000	812000	800184	702459	702459	0	0	78189	78189	0	0	0	0	0	1221	0	2000	2000	2000	2000	2000	0
2026-02	1900	771400	741000	771671	757702	666524	666524	0	0	74822	74822	0	0	0	0	0	1135	0	1900	1900	1900	1900	1900	0
2026-03	800	324800	312000	284293	276937	244341	244341	0	0	28881	28881	0	0	0	0	0	440	0	700	700	700	700	800	0
