2026-01-28	QQQ
2026-01-29	AAPL
2026-01-29	AFRM
2026-01-29	ALLY
2026-01-29	AMZN
2026-01-29	BMY
2026-01-29	CAT
2026-01-29	CRM
2026-01-29	DIS
2026-01-29	GOOGL
2026-01-29	GS
2026-01-29	HOOD
2026-01-29	INTC
2026-01-29	KHC
2026-01-29	KO
2026-01-29	MA
2026-01-29	MCD
2026-01-29	MRK
2026-01-29	MSFT
2026-01-29	MU
2026-01-29	NOC
2026-01-29	NOW
2026-01-29	ORCL
2026-01-29	PLTR
2026-01-29	TSLA
2026-01-29	UPST
2026-01-29	WMT
2026-01-29	XOM
2026-01-30	ADBE
2026-01-30	AMD
2026-01-30	BAC
2026-01-30	COP
2026-01-30	CSCO
2026-01-30	CVS
2026-01-30	GE
2026-01-30	GILD
2026-01-30	HD
2026-01-30	JNJ
2026-01-30	LOW
2026-01-30	MO
2026-01-30	MPC
2026-01-30	MS
2026-01-30	NFLX
2026-01-30	NKE
2026-01-30	OXY
2026-01-30	QCOM
2026-01-30	RBLX
2026-01-30	RF
2026-01-30	RTX
2026-01-30	SBUX
2026-01-30	SHOP
2026-01-30	SPY
2026-01-30	UBER
2026-01-30	USB
2026-01-30	V
2026-01-30	WFC
2026-02-02	AAPL
2026-02-02	AFRM
2026-02-02	ALLY
2026-02-02	AMZN
2026-02-02	BMY
2026-02-02	CAT
2026-02-02	CRM
2026-02-02	DIS
2026-02-02	GOOGL
2026-02-02	GS
2026-02-02	HOOD
2026-02-02	INTC
2026-02-02	KHC
2026-02-02	KO
2026-02-02	MA
2026-02-02	MCD
2026-02-02	MRK
2026-02-02	MSFT
2026-02-02	MU
2026-02-02	NOC
2026-02-02	NOW
2026-02-02	ORCL
2026-02-02	PLTR
2026-02-02	TSLA
2026-02-02	UPST
2026-02-02	WMT
2026-02-02	XOM
2026-02-03	QQQ
2026-02-04	SPY
