symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
PEP	86	34556	33180	34556	33114	32428	32428	0	430	752	0	0	49	80	0	84	2
PFE	86	34556	33180	34556	33480	33085	33085	0	66	97	0	0	27	40	0	84	2
PG	86	34556	33180	34556	33242	32496	32496	0	318	684	0	0	48	81	0	84	2
PLTR	86	34556	33180	34556	33577	33187	33187	0	0	0	0	0	0	0	0	84	2
PM	86	34556	33180	34556	29989	27233	27233	0	3570	5947	0	0	52	86	0	84	2
PNC	86	34556	33180	34556	25181	20135	20135	0	8363	13045	0	0	52	86	0	84	2
PSX	86	34556	33180	34556	25430	20304	20304	0	8114	12876	0	0	52	86	0	84	2
PYPL	86	34556	33180	34556	33557	33176	33176	0	0	5	0	0	0	2	0	84	2
QCOM	86	34556	33180	34556	33496	33062	33062	0	79	118	0	0	25	41	0	84	2
QQQ	86	34556	33180	34782	36055	33914	33914	0	0	434	0	0	0	2	0	84	2
RBLX	86	34556	33180	34556	33119	32478	32478	0	424	702	0	0	47	77	0	84	2
RF	86	34556	33180	34556	18890	9220	9220	0	14698	23960	0	0	53	86	0	84	2
RTX	86	34556	33180	34556	31901	30243	30243	0	1655	2937	0	0	54	81	0	84	2
SBUX	86	34556	33180	34556	33393	32885	32885	0	182	295	0	0	36	60	0	84	2
SCHW	86	34556	33180	34556	31328	29669	29669	0	2200	3511	0	0	51	83	0	84	2
SHOP	86	34556	33180	34556	33416	32992	32992	0	130	189	0	0	30	46	0	84	2
SLB	86	34556	33180	34556	32499	31281	31281	0	1077	1899	0	0	47	83	0	84	2
SNOW	86	34556	33180	34556	33457	33015	33015	0	87	165	0	0	31	50	0	84	2
SOFI	86	34556	33180	34556	33556	33183	33183	0	0	0	0	0	0	0	0	84	2
SPGI	86	34556	33180	34556	21232	13974	13974	0	12326	19206	0	0	53	86	0	84	2
SPY	86	34556	33180	34694	35732	34355	34355	0	0	0	0	0	0	0	0	84	2
TFC	86	34556	33180	34556	21471	14251	14251	0	12100	18929	0	0	55	86	0	84	2
TGT	86	34556	33180	34556	33466	33032	33032	0	93	149	0	0	30	49	0	84	2
TSLA	86	34556	33180	34556	33569	33215	33215	0	0	0	0	0	0	0	0	84	2
UBER	86	34556	33180	34556	33534	33170	33170	0	9	12	0	0	9	12	0	84	2
UNH	86	34556	33180	34556	33562	33185	33185	0	2	2	0	0	1	1	0	84	2
UPST	86	34556	33180	34556	33084	32396	32396	0	494	784	0	0	44	72	0	84	2
USB	86	34556	33180	34556	28037	23036	23036	0	5523	10144	0	0	51	86	0	84	2
V	86	34556	33180	34556	33354	32918	32918	0	181	263	0	0	34	58	0	84	2
VLO	86	34556	33180	34556	29818	26751	26751	0	3744	6429	0	0	49	86	0	84	2
WFC	86	34556	33180	34556	33187	32576	32576	0	359	604	0	0	48	83	0	84	2
WMT	86	34556	33180	34556	33543	33184	33184	0	0	0	0	0	0	0	0	84	2
XOM	86	34556	33180	34556	33475	33006	33006	0	75	174	0	0	33	68	0	84	2
