month	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
2025-09	2100	852600	819000	852600	819000	729113	0	0	0	90598	90598	0	729113	0	0	0	1273	2100	2100	2100	2100	0	2100	0
2025-10	2300	933800	897000	932988	896220	808959	131047	812	780	88804	88414	390	677912	2	2	1	1412	1924	2298	2297	2299	374	2300	0
2025-11	1900	753400	723000	753400	753400	637619	637619	0	0	86017	86017	0	0	0	0	0	1179	0	1900	1898	1900	1900	1800	100
2025-12	2200	875200	840000	875200	864389	735603	735607	0	0	105122	105122	0	0	0	0	0	1433	0	2200	2200	2200	2200	2100	100
2026-01	2000	812000	780000	812000	800184	702459	702459	0	0	78189	78189	0	0	0	0	0	1221	0	2000	2000	2000	2000	2000	0
2026-02	1900	771400	741000	771671	757702	666524	666524	0	0	74822	74822	0	0	0	0	0	1135	0	1900	1900	1900	1900	1900	0
2026-03	900	365400	351000	284293	276937	244341	244341	81200	78000	106881	28881	78000	0	200	200	200	440	0	700	700	700	700	900	0
