symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
JPM	86	34556	33180	33932	33527	33171	33171	624	5	10	0	39	3	8	0	86	86	86	86	84	2
KEY	86	34556	33180	32794	22908	14832	14832	1762	10832	18348	0	62	51	86	0	86	86	86	86	84	2
KHC	86	34556	33180	33548	32356	29454	29454	1008	1400	3726	0	63	39	86	0	86	86	86	86	84	2
KO	86	34556	33180	33708	33632	33029	33029	848	44	151	0	53	20	50	0	86	86	86	86	84	2
LLY	86	34556	33180	33932	33559	33163	33163	624	6	19	0	39	2	12	0	86	86	86	86	84	2
LMT	86	34556	33180	33564	32707	30582	30582	992	1033	2598	0	62	40	84	0	86	86	86	86	84	2
LOW	86	34556	33180	33534	30612	26262	26262	1022	3128	6918	0	62	38	86	0	86	86	86	86	84	2
MA	86	34556	33180	33580	33065	31351	31351	976	691	1829	0	61	38	86	0	86	86	86	86	84	2
MCD	86	34556	33180	33596	33281	32062	32062	960	475	1118	0	60	34	85	0	86	86	86	86	84	2
META	86	34556	33180	34010	33530	33187	33187	546	0	0	0	36	0	0	0	86	86	86	86	84	2
MMM	86	34556	33180	33554	30325	26425	26425	1002	3415	6755	0	62	42	86	0	86	86	86	86	84	2
MO	86	34556	33180	33564	33128	31244	31244	992	612	1936	0	62	37	85	0	86	86	86	86	84	2
MPC	86	34556	33180	33098	26114	15905	15905	1458	7626	17275	0	63	40	86	0	86	86	86	86	84	2
MRK	86	34556	33180	33580	33530	32834	32834	976	210	347	0	61	36	69	0	86	86	86	86	84	2
MS	86	34556	33180	33580	32971	31043	31043	976	769	2137	0	61	35	85	0	86	86	86	86	84	2
MSFT	86	34556	33180	34000	33537	33188	33188	556	0	0	0	36	0	0	0	86	86	86	86	84	2
MU	86	34556	33180	33994	33521	33186	33186	562	0	0	0	37	0	0	0	86	86	86	86	84	2
NFLX	86	34556	33180	33984	33526	33191	33191	572	0	0	0	37	0	0	0	86	86	86	86	84	2
NKE	86	34556	33180	33964	33531	33168	33168	592	2	13	0	37	2	9	0	86	86	86	86	84	2
NOC	86	34556	33180	32724	25775	13818	13818	1832	7965	19362	0	62	44	86	0	86	86	86	86	84	2
NOW	86	34556	33180	33612	33650	32123	32123	944	74	1057	0	59	11	43	0	86	86	86	86	84	2
NVDA	86	34556	33180	34024	34104	33208	33208	532	0	0	0	37	0	0	0	86	86	86	86	84	2
ORCL	86	34556	33180	33702	33609	33061	33061	854	51	120	0	54	28	58	0	86	86	86	86	84	2
OXY	86	34556	33180	33644	33641	32853	32853	912	99	327	0	57	27	63	0	86	86	86	86	84	2
PEP	86	34556	33180	33612	33447	32428	32428	944	293	752	0	59	35	80	0	86	86	86	86	84	2
PFE	86	34556	33180	33804	33543	33085	33085	752	54	97	0	47	22	40	0	86	86	86	86	84	2
PG	86	34556	33180	33554	33450	32496	32496	1002	258	684	0	63	36	81	0	86	86	86	86	84	2
PLTR	86	34556	33180	34000	33529	33187	33187	556	0	0	0	36	0	0	0	86	86	86	86	84	2
PM	86	34556	33180	33564	31222	27233	27233	992	2534	5947	0	62	37	86	0	86	86	86	86	84	2
PNC	86	34556	33180	33384	27636	20135	20135	1172	6120	13045	0	62	39	86	0	86	86	86	86	84	2
PSX	86	34556	33180	33474	27680	20304	20304	1082	6060	12876	0	62	39	86	0	86	86	86	86	84	2
PYPL	86	34556	33180	33980	33516	33176	33176	576	0	5	0	36	0	2	0	86	86	86	86	84	2
QCOM	86	34556	33180	33724	33585	33062	33062	832	59	118	0	52	17	41	0	86	86	86	86	84	2
QQQ	86	34556	33180	34129	34086	33914	33914	498	380	434	0	8	1	2	0	86	86	86	86	84	2
RBLX	86	34556	33180	33596	33460	32478	32478	960	248	702	0	60	35	77	0	86	86	86	86	84	2
RF	86	34556	33180	30834	22568	9220	9220	3722	11188	23960	0	62	47	86	0	86	86	86	86	84	2
RTX	86	34556	33180	33548	32869	30243	30243	1008	887	2937	0	63	39	81	0	86	86	86	86	84	2
SBUX	86	34556	33180	33676	33605	32885	32885	880	119	295	0	55	23	60	0	86	86	86	86	84	2
SCHW	86	34556	33180	33580	32332	29669	29669	976	1408	3511	0	61	37	83	0	86	86	86	86	84	2
SHOP	86	34556	33180	33644	33590	32992	32992	912	86	189	0	57	20	46	0	86	86	86	86	84	2
SLB	86	34556	33180	33580	33055	31281	31281	976	701	1899	0	61	32	83	0	86	86	86	86	84	2
SNOW	86	34556	33180	33724	33518	33015	33015	832	78	165	0	52	26	50	0	86	86	86	86	84	2
SOFI	86	34556	33180	34000	33518	33183	33183	556	0	0	0	36	0	0	0	86	86	86	86	84	2
SPGI	86	34556	33180	32368	25010	13974	13974	2188	8730	19206	0	63	41	86	0	86	86	86	86	84	2
SPY	86	34556	33180	34457	34419	34355	34355	144	0	0	0	9	0	0	0	86	86	86	86	84	2
TFC	86	34556	33180	32968	24454	14251	14251	1588	9286	18929	0	63	47	86	0	86	86	86	86	84	2
TGT	86	34556	33180	33724	33571	33032	33032	832	73	149	0	52	22	49	0	86	86	86	86	84	2
