ex.symbol	expected_symbol_days	expected_1m_slots	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
MSFT	84	34104	32378	94.94	32717	95.93	33683	98.77	32378	94.94	100	8068175	42623308	33683	5822685
MU	84	34104	32376	94.93	32663	95.77	33698	98.81	32376	94.93	100	6365682	21220629	33698	4092217
NFLX	84	34104	32381	94.95	32742	96.01	33698	98.81	32381	94.95	100	5719727	80357401	33698	3894216
NKE	84	34104	32358	94.88	32685	95.84	33683	98.77	32358	94.88	100	1108604	16196863	33683	769846
NOC	84	34104	13576	39.81	21034	61.68	33683	98.77	13576	39.81	100	41978	16026533	33683	30181
NOW	84	34104	31322	91.84	32119	94.18	33698	98.81	31322	91.84	100	734928	35468244	33698	484485
NVDA	84	34104	32398	95	33292	97.62	33683	98.77	32398	95	100	27271254	58462269	33683	22080636
ORCL	84	34104	32254	94.58	32634	95.69	33698	98.81	32254	94.58	100	4544897	28178035	33698	3548325
OXY	84	34104	32046	93.97	32525	95.37	33698	98.81	32046	93.97	100	556104	10359037	33698	396587
PEP	84	34104	31628	92.74	32256	94.58	33668	98.72	31628	92.74	100	371642	14354632	33668	267383
PFE	84	34104	32276	94.64	32622	95.65	33668	98.72	32276	94.64	100	987271	10029189	33668	774931
PG	84	34104	31701	92.95	32384	94.96	33698	98.81	31701	92.95	100	411500	14373553	33698	304312
PLTR	84	34104	32377	94.94	32719	95.94	33683	98.77	32377	94.94	100	10053684	34083192	33683	7645297
PM	84	34104	26559	77.88	29131	85.42	33683	98.77	26559	77.88	100	128467	14178600	33683	100347
PNC	84	34104	19712	57.8	24323	71.32	33277	97.58	19712	57.8	100	71713	14986896	33277	53235
PSX	84	34104	19760	57.94	24572	72.05	33683	98.77	19760	57.94	100	69744	14785494	33683	58673
PYPL	84	34104	32366	94.9	32699	95.88	33683	98.77	32366	94.9	100	1425963	15727643	33683	1061260
QCOM	84	34104	32252	94.57	32638	95.7	33683	98.77	32252	94.57	100	716760	18436681	33683	552414
QQQ	84	34104	33059	96.94	35197	103.2	33924	99.47	33059	96.94	100	60603354	152886399	33924	42967886
RBLX	84	34104	31679	92.89	32261	94.6	33683	98.77	31679	92.89	100	542499	19752898	33683	376871
RF	84	34104	8988	26.35	17673	51.82	33698	98.81	8988	26.35	100	22555	4254140	33698	18304
RTX	84	34104	29481	86.44	31043	91.02	33698	98.81	29481	86.44	100	251700	12428646	33698	179122
SBUX	84	34104	32079	94.06	32535	95.4	33683	98.77	32079	94.06	100	520862	12908845	33683	344561
SCHW	84	34104	28917	84.79	30470	89.34	33668	98.72	28917	84.79	100	244339	13043117	33668	180247
SHOP	84	34104	32192	94.39	32558	95.47	33683	98.77	32192	94.39	100	708279	22108747	33683	580446
SLB	84	34104	30515	89.48	31641	92.78	33698	98.81	30515	89.48	100	299294	10345400	33698	211025
SNOW	84	34104	32205	94.43	32599	95.59	33683	98.77	32205	94.43	100	904696	24023852	33683	732809
SOFI	84	34104	32373	94.92	32698	95.88	33683	98.77	32373	94.92	100	4423985	14880593	33683	3273754
SPGI	84	34104	13649	40.02	20374	59.74	33698	98.81	13649	40.02	100	46749	20601360	33698	42902
SPY	84	34104	33499	98.23	34874	102.26	33836	99.21	33499	98.23	100	99913843	197496966	33836	69542548
TFC	84	34104	13887	40.72	20613	60.44	33698	98.81	13887	40.72	100	42892	4647874	33698	36467
TGT	84	34104	32226	94.49	32608	95.61	33698	98.81	32226	94.49	100	701365	15796601	33698	544712
TSLA	84	34104	32403	95.01	32711	95.92	33683	98.77	32403	95.01	100	38297838	83072970	33683	30510079
UBER	84	34104	32361	94.89	32676	95.81	33668	98.72	32361	94.89	100	1269367	15665929	33668	962843
UNH	84	34104	32375	94.93	32704	95.89	33683	98.77	32375	94.93	100	2337667	33002216	33683	1512161
UPST	84	34104	31595	92.64	32226	94.49	33698	98.81	31595	92.64	100	424664	15651307	33698	349728
USB	84	34104	22436	65.79	27179	79.69	33683	98.77	22436	65.79	100	100622	10058935	33683	76957
V	84	34104	32110	94.15	32496	95.29	33668	98.72	32110	94.15	100	587373	34097083	33668	410617
VLO	84	34104	26051	76.39	28960	84.92	33683	98.77	26051	76.39	100	153440	15721734	33683	123618
WFC	84	34104	31773	93.17	32329	94.8	33698	98.81	31773	93.17	100	615717	17776562	33698	434717
WMT	84	34104	32374	94.93	32685	95.84	33683	98.77	32374	94.93	100	1607598	13927801	33683	1279060
XOM	84	34104	32204	94.43	32617	95.64	33683	98.77	32204	94.43	100	1293175	19650667	33683	936306
