dayIso	month	symbol	type	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-11-03	2025-11	QCOM	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	QQQ	open	406	406	406	405	405	0	0	1	0
2025-11-03	2025-11	RBLX	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	RF	open	406	406	406	49	49	0	0	357	0
2025-11-03	2025-11	RTX	open	406	406	406	301	301	0	0	105	0
2025-11-03	2025-11	SBUX	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	SCHW	open	406	406	406	342	342	0	0	64	0
2025-11-03	2025-11	SHOP	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	SLB	open	406	406	406	376	376	0	0	30	0
2025-11-03	2025-11	SNOW	open	406	406	406	389	389	0	0	17	0
2025-11-03	2025-11	SOFI	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	SPGI	open	406	406	406	166	166	0	0	240	0
2025-11-03	2025-11	SPY	open	406	406	406	405	405	0	0	1	0
2025-11-03	2025-11	TFC	open	406	406	406	176	176	0	0	230	0
2025-11-03	2025-11	TGT	open	406	406	406	389	389	0	0	17	0
2025-11-03	2025-11	TSLA	open	406	406	406	391	391	0	0	15	0
2025-11-03	2025-11	UBER	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	UNH	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	UPST	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	USB	open	406	406	406	295	295	0	0	111	0
2025-11-03	2025-11	V	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	VLO	open	406	406	406	215	215	0	0	191	0
2025-11-03	2025-11	WFC	open	406	406	406	386	386	0	0	20	0
2025-11-03	2025-11	WMT	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	XOM	open	406	406	406	389	389	0	0	17	0
2025-11-04	2025-11	AAPL	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	ABBV	open	406	406	406	366	366	0	0	40	0
2025-11-04	2025-11	ABNB	open	406	406	406	371	371	0	0	35	0
2025-11-04	2025-11	ADBE	open	406	406	406	389	389	0	0	17	0
2025-11-04	2025-11	AFRM	open	406	406	406	382	382	0	0	24	0
2025-11-04	2025-11	ALLY	open	406	406	406	213	213	0	0	193	0
2025-11-04	2025-11	AMD	open	406	406	406	391	391	0	0	15	0
2025-11-04	2025-11	AMGN	open	406	406	406	373	373	0	0	33	0
2025-11-04	2025-11	AMZN	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	AVGO	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	AXP	open	406	406	406	316	316	0	0	90	0
2025-11-04	2025-11	BA	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	BAC	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	BLK	open	406	406	406	183	183	0	0	223	0
2025-11-04	2025-11	BMY	open	406	406	406	379	379	0	0	27	0
2025-11-04	2025-11	C	open	406	406	406	383	383	0	0	23	0
2025-11-04	2025-11	CAT	open	406	406	406	388	388	0	0	18	0
2025-11-04	2025-11	CL	open	406	406	406	288	288	0	0	118	0
2025-11-04	2025-11	CME	open	406	406	406	118	118	0	0	288	0
2025-11-04	2025-11	CMG	open	406	406	406	387	387	0	0	19	0
2025-11-04	2025-11	COIN	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	COP	open	406	406	406	320	320	0	0	86	0
2025-11-04	2025-11	COST	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	CRM	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	CSCO	open	406	406	406	386	386	0	0	20	0
2025-11-04	2025-11	CVS	open	406	406	406	363	363	0	0	43	0
2025-11-04	2025-11	CVX	open	406	406	406	377	377	0	0	29	0
