2025-09-02	AAPL
2025-09-02	MSFT
2025-09-02	NVDA
2025-09-02	AMZN
2025-09-02	GOOGL
2025-09-02	META
2025-09-02	TSLA
2025-09-02	AMD
2025-09-02	NFLX
2025-09-02	AVGO
2025-09-02	INTC
2025-09-02	QCOM
2025-09-02	CSCO
2025-09-02	ORCL
2025-09-02	ADBE
2025-09-02	CRM
2025-09-02	NOW
2025-09-02	UBER
2025-09-02	ABNB
2025-09-02	PYPL
2025-09-02	SHOP
2025-09-02	MU
2025-09-02	COIN
2025-09-02	SNOW
2025-09-02	PLTR
2025-09-02	RBLX
2025-09-02	HOOD
2025-09-02	SOFI
2025-09-02	AFRM
2025-09-02	UPST
2025-09-02	JPM
2025-09-02	BAC
2025-09-02	WFC
2025-09-02	C
2025-09-02	GS
2025-09-02	MS
2025-09-02	SCHW
2025-09-02	AXP
2025-09-02	V
2025-09-02	MA
2025-09-02	BLK
2025-09-02	SPGI
2025-09-02	ICE
2025-09-02	CME
2025-09-02	USB
2025-09-02	PNC
2025-09-02	TFC
2025-09-02	RF
2025-09-02	KEY
2025-09-02	ALLY
2025-09-02	XOM
2025-09-02	CVX
2025-09-02	COP
2025-09-02	EOG
2025-09-02	SLB
2025-09-02	HAL
2025-09-02	MPC
2025-09-02	VLO
2025-09-02	PSX
2025-09-02	OXY
2025-09-02	BA
2025-09-02	GE
2025-09-02	CAT
2025-09-02	DE
2025-09-02	MMM
2025-09-02	HON
2025-09-02	LMT
2025-09-02	NOC
2025-09-02	RTX
2025-09-02	ETN
2025-09-02	UNH
2025-09-02	JNJ
2025-09-02	PFE
2025-09-02	MRK
2025-09-02	LLY
2025-09-02	ABBV
2025-09-02	AMGN
2025-09-02	GILD
2025-09-02	BMY
2025-09-02	CVS
2025-09-02	WMT
2025-09-02	COST
2025-09-02	TGT
2025-09-02	HD
2025-09-02	LOW
2025-09-02	MCD
2025-09-02	SBUX
2025-09-02	DIS
2025-09-02	NKE
2025-09-02	CMG
2025-09-02	KO
2025-09-02	PEP
2025-09-02	PG
2025-09-02	CL
2025-09-02	MO
2025-09-02	PM
2025-09-02	KHC
2025-09-02	GIS
2025-09-02	SPY
2025-09-02	QQQ
