symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
LOW	86	34556	33180	33534	33311	26262	26262	1022	813	6918	6105	813	0	62	14	14	72	0	86	86	86	86	84	2
MA	86	34556	33180	33580	34097	31351	31351	976	155	1829	1674	155	0	61	7	7	79	0	86	86	86	86	84	2
MCD	86	34556	33180	33596	34071	32062	32062	960	101	1118	1017	101	0	60	8	8	77	0	86	86	86	86	84	2
META	86	34556	33180	34010	33530	33187	33187	546	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
MMM	86	34556	33180	33554	33172	26425	26425	1002	1064	6755	5691	1064	0	62	11	11	75	0	86	86	86	86	84	2
MO	86	34556	33180	33564	34006	31244	31244	992	134	1936	1802	134	0	62	12	12	73	0	86	86	86	86	84	2
MPC	86	34556	33180	33098	33055	15905	15905	1458	1197	17275	16078	1197	0	63	8	8	80	0	86	86	86	86	84	2
MRK	86	34556	33180	33580	34105	32834	32834	976	51	347	296	51	0	61	10	10	59	0	86	86	86	86	84	2
MS	86	34556	33180	33580	33935	31043	31043	976	221	2137	1916	221	0	61	9	9	76	0	86	86	86	86	84	2
MSFT	86	34556	33180	34000	33537	33188	33188	556	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
MU	86	34556	33180	33994	33521	33186	33186	562	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
NFLX	86	34556	33180	33984	33526	33191	33191	572	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
NKE	86	34556	33180	33964	33548	33168	33168	592	1	13	12	1	0	37	1	1	8	0	86	86	86	86	84	2
NOC	86	34556	33180	32724	31806	13818	13818	1832	2382	19362	16980	2382	0	62	16	16	74	0	86	86	86	86	84	2
NOW	86	34556	33180	33612	33868	32123	32123	944	16	1057	1041	16	0	59	1	1	42	0	86	86	86	86	84	2
NVDA	86	34556	33180	34024	34104	33208	33208	532	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
ORCL	86	34556	33180	33702	34019	33061	33061	854	9	120	111	9	0	54	5	5	53	0	86	86	86	86	84	2
OXY	86	34556	33180	33644	33977	32853	32853	912	35	327	292	35	0	57	10	10	53	0	86	86	86	86	84	2
PEP	86	34556	33180	33612	34149	32428	32428	944	71	752	681	71	0	59	5	5	75	0	86	86	86	86	84	2
PFE	86	34556	33180	33804	33838	33085	33085	752	15	97	82	15	0	47	6	6	34	0	86	86	86	86	84	2
