symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	0	34556	33569	33190	32800	0	0	0	390	0	0	0	1	84	2
ABBV	86	34556	0	34556	32677	31825	31825	0	0	0	0	0	0	0	0	84	2
ABNB	86	34556	0	34556	31530	30214	30214	0	0	0	0	0	0	0	0	84	2
ADBE	86	34556	0	34556	33583	33163	33163	0	0	0	0	0	0	0	0	84	2
AFRM	86	34556	0	34556	33245	32637	32637	0	0	0	0	0	0	0	0	84	2
ALLY	86	34556	0	34556	23120	14235	14235	0	0	0	0	0	0	0	0	84	2
AMD	86	34556	0	34556	33575	33188	32828	0	0	0	360	0	0	0	1	84	2
AMGN	86	34556	0	34556	31694	30121	30121	0	0	0	0	0	0	0	0	84	2
AMZN	86	34556	0	34556	33594	33190	32822	0	0	0	368	0	0	0	1	84	2
AVGO	86	34556	0	34556	33590	33186	32922	0	0	0	264	0	0	0	1	84	2
AXP	86	34556	0	34556	32479	31420	31420	0	0	0	0	0	0	0	0	84	2
BA	86	34556	0	34556	33554	33177	33177	0	0	0	0	0	0	0	0	84	2
BAC	86	34556	0	34556	33582	33174	33174	0	0	0	0	0	0	0	0	84	2
BLK	86	34556	0	34556	25537	20538	20538	0	0	0	0	0	0	0	0	84	2
BMY	86	34556	0	34556	32786	32086	32086	0	0	0	0	0	0	0	0	84	2
C	86	34556	0	34556	33438	32896	32896	0	0	0	0	0	0	0	0	84	2
CAT	86	34556	0	34556	33461	32978	32978	0	0	0	0	0	0	0	0	84	2
CL	86	34556	0	34556	26058	20924	20924	0	0	0	0	0	0	0	0	84	2
CME	86	34556	0	34556	21895	14755	14755	0	0	0	0	0	0	0	0	84	2
CMG	86	34556	0	34556	33361	32849	32849	0	0	0	0	0	0	0	0	84	2
COIN	86	34556	0	34556	33543	33186	33186	0	0	0	0	0	0	0	0	84	2
COP	86	34556	0	34556	31820	30213	30213	0	0	0	0	0	0	0	0	84	2
COST	86	34556	0	34556	33572	33175	33175	0	0	0	0	0	0	0	0	84	2
CRM	86	34556	0	34556	33540	33149	33149	0	0	0	0	0	0	0	0	84	2
CSCO	86	34556	0	34556	33325	32888	32888	0	0	0	0	0	0	0	0	84	2
CVS	86	34556	0	34556	32147	30864	30864	0	0	0	0	0	0	0	0	84	2
CVX	86	34556	0	34556	33449	32974	32974	0	0	0	0	0	0	0	0	84	2
DE	86	34556	0	34556	30472	27928	27928	0	0	0	0	0	0	0	0	84	2
DIS	86	34556	0	34556	33397	33014	33014	0	0	0	0	0	0	0	0	84	2
EOG	86	34556	0	34556	26361	21514	21514	0	0	0	0	0	0	0	0	84	2
ETN	86	34556	0	34556	27456	23871	23871	0	0	0	0	0	0	0	0	84	2
GE	86	34556	0	34556	32938	32036	32036	0	0	0	0	0	0	0	0	84	2
GILD	86	34556	0	34556	30054	27574	27574	0	0	0	0	0	0	0	0	84	2
GIS	86	34556	0	34556	27655	23564	23564	0	0	0	0	0	0	0	0	84	2
GOOGL	86	34556	0	34556	33573	33188	33188	0	0	0	0	0	0	0	0	84	2
GS	86	34556	0	34556	33538	33139	33139	0	0	0	0	0	0	0	0	84	2
HAL	86	34556	0	34556	31244	29454	29454	0	0	0	0	0	0	0	0	84	2
HD	86	34556	0	34556	33315	32787	32787	0	0	0	0	0	0	0	0	84	2
HON	86	34556	0	34556	28212	24530	24530	0	0	0	0	0	0	0	0	84	2
HOOD	86	34556	0	34556	33556	33183	33183	0	0	0	0	0	0	0	0	84	2
ICE	86	34556	0	34556	17547	8977	8977	0	0	0	0	0	0	0	0	84	2
