symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
MA	88	35368	33960	34962	34796	31710	31710	406	390	2250	1860	390	0	1	1	1	87	0	87	87	87	87	86	2
MCD	88	35368	33960	34962	34705	32421	32421	406	390	1539	1149	390	0	1	1	1	86	0	87	87	87	87	86	2
META	88	35368	33960	34962	33968	33577	33577	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
MMM	88	35368	33960	34962	34856	26751	26751	406	390	7209	6819	390	0	1	1	1	87	0	87	87	87	87	86	2
MO	88	35368	33960	34962	34765	31583	31583	406	390	2377	1987	390	0	1	1	1	86	0	87	87	87	87	86	2
MPC	88	35368	33960	34962	34796	16083	16083	406	390	17877	17487	390	0	1	1	1	87	0	87	87	87	87	86	2
MRK	88	35368	33960	34962	34763	33221	33221	406	390	740	350	390	0	1	1	1	70	0	87	87	87	87	86	2
MS	88	35368	33960	34962	34705	31385	31385	406	390	2575	2185	390	0	1	1	1	86	0	87	87	87	87	86	2
MSFT	88	35368	33960	34962	33981	33578	33578	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
MU	88	35368	33960	34962	33911	33576	33576	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
NFLX	88	35368	33960	34962	33990	33581	33581	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
NKE	88	35368	33960	34962	33984	33558	33558	406	390	403	13	390	0	1	1	1	9	0	87	87	87	87	86	2
NOC	88	35368	33960	34962	34796	14007	14007	406	390	19953	19563	390	0	1	1	1	87	0	87	87	87	87	86	2
NOW	88	35368	33960	34962	34331	32513	32513	406	390	1447	1057	390	0	1	1	1	43	0	87	87	87	87	86	2
NVDA	88	35368	33960	34962	33970	33598	33598	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
ORCL	88	35368	33960	34962	34538	33450	33450	406	390	511	121	390	0	1	1	1	59	0	87	87	87	87	86	2
OXY	88	35368	33960	34962	34618	33242	33242	406	390	718	328	390	0	1	1	1	64	0	87	87	87	87	86	2
PEP	88	35368	33960	34962	34718	32796	32796	406	390	1164	774	390	0	1	1	1	81	0	87	87	87	87	86	2
PFE	88	35368	33960	34962	34368	33475	33475	406	390	487	97	390	0	1	1	1	40	0	87	87	87	87	86	2
PG	88	35368	33960	34962	34718	32863	32864	406	390	1097	707	390	0	1	1	1	82	0	87	87	87	87	86	2
PLTR	88	35368	33960	34962	33967	33577	33577	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
PM	88	35368	33960	34962	34781	27494	27494	406	390	6466	6076	390	0	1	1	1	87	0	87	87	87	87	86	2
PNC	88	35368	33960	34962	34766	20303	20303	406	390	13657	13267	390	0	1	1	1	87	0	87	87	87	87	86	2
PSX	88	35368	33960	34962	34766	20519	20519	406	390	13441	13051	390	0	1	1	1	87	0	87	87	87	87	86	2
PYPL	88	35368	33960	34962	33947	33566	33566	406	390	395	5	390	0	1	1	1	2	0	87	87	87	87	86	2
QCOM	88	35368	33960	34962	34365	33449	33449	406	390	511	121	390	0	1	1	1	42	0	87	87	87	87	86	2
QQQ	88	35368	33960	35188	36445	34319	34319	406	390	824	434	390	0	1	1	1	2	0	87	87	87	87	86	2
RBLX	88	35368	33960	34962	34685	32866	32867	406	390	1094	704	390	0	1	1	1	78	0	87	87	87	87	86	2
RF	88	35368	33960	34962	34826	9287	9287	406	390	24673	24283	390	0	1	1	1	87	0	87	87	87	87	86	2
RTX	88	35368	33960	34962	34810	30625	30625	406	390	3335	2945	390	0	1	1	1	82	0	87	87	87	87	86	2
SBUX	88	35368	33960	34962	34541	33272	33272	406	390	688	298	390	0	1	1	1	61	0	87	87	87	87	86	2
SCHW	88	35368	33960	34962	34734	29980	29980	406	390	3980	3590	390	0	1	1	1	84	0	87	87	87	87	86	2
SHOP	88	35368	33960	34962	34416	33373	33374	406	390	588	198	390	0	1	1	1	47	0	87	87	87	87	86	2
SLB	88	35368	33960	34962	34718	31666	31666	406	390	2294	1904	390	0	1	1	1	84	0	87	87	87	87	86	2
SNOW	88	35368	33960	34962	34430	33404	33404	406	390	556	166	390	0	1	1	1	51	0	87	87	87	87	86	2
SOFI	88	35368	33960	34962	33946	33574	33574	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
SPGI	88	35368	33960	34962	34796	14143	14143	406	390	19817	19427	390	0	1	1	1	87	0	87	87	87	87	86	2
SPY	88	35368	33960	35100	36122	34760	34760	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
TFC	88	35368	33960	34962	34841	14407	14407	406	390	19553	19163	390	0	1	1	1	87	0	87	87	87	87	86	2
TGT	88	35368	33960	34962	34429	33420	33420	406	390	541	151	390	0	1	1	1	50	0	87	87	87	87	86	2
TSLA	88	35368	33960	34962	33959	33604	33604	406	390	391	1	390	0	1	1	1	1	0	87	87	87	87	86	2
UBER	88	35368	33960	34962	34077	33560	33560	406	390	402	12	390	0	1	1	1	12	0	87	87	87	87	86	2
UNH	88	35368	33960	34962	33970	33575	33575	406	390	392	2	390	0	1	1	1	1	0	87	87	87	87	86	2
UPST	88	35368	33960	34962	34672	32764	32764	406	390	1196	806	390	0	1	1	1	73	0	87	87	87	87	86	2
USB	88	35368	33960	34962	34766	23309	23309	406	390	10651	10261	390	0	1	1	1	87	0	87	87	87	87	86	2
V	88	35368	33960	34962	34469	33307	33307	406	390	654	264	390	0	1	1	1	59	0	87	87	87	87	86	2
VLO	88	35368	33960	34962	34736	27090	27090	406	390	6870	6480	390	0	1	1	1	87	0	87	87	87	87	86	2
WFC	88	35368	33960	34962	34704	32964	32964	406	390	996	606	390	0	1	1	1	84	0	87	87	87	87	86	2
WMT	88	35368	33960	34962	33933	33574	33574	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
XOM	88	35368	33960	34962	34468	33394	33394	406	390	566	176	390	0	1	1	1	69	0	87	87	87	87	86	2
