month	weekdays_total	open_days	early_close_days	full_close_days	tradable_days_open_or_early	in_scope_days	in_scope_open_days	in_scope_early_close_days	in_scope_full_close_days
2025-11	20	18	1	1	19	18	18	0	0
2025-12	23	21	1	1	22	21	21	0	0
2026-01	22	20	0	2	20	20	20	0	0
2026-02	20	19	0	1	19	19	19	0	0
2026-03	6	6	0	0	6	6	6	0	0
