ef.symbol	expected_symbol_days	expected_1m_slots_fixed_406	expected_1m_slots_market	trade_1m_slots	trade_slot_cov_pct_vs_market	quote_1m_slots	quote_slot_cov_pct_vs_market	stock_1m_slots	stock_slot_cov_pct_vs_market	enrich_1m_slots	enrich_slot_cov_pct_vs_market	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
MO	84	34104	33972	30478	89.72	31636	93.12	33683	99.15	30478	89.72	100	249218	10213972	33683	181537
MPC	84	34104	33972	15493	45.61	21907	64.49	33698	99.19	15493	45.61	100	48680	8632153	33698	42931
MRK	84	34104	33972	32036	94.3	32456	95.54	33683	99.15	32036	94.3	100	571211	13676603	33683	485685
MS	84	34104	33972	30267	89.09	31550	92.87	33668	99.11	30267	89.09	100	283484	17806347	33668	191067
MSFT	84	34104	33972	32378	95.31	32717	96.31	33683	99.15	32378	95.31	100	8068175	42623308	33683	5822685
MU	84	34104	33972	32376	95.3	32663	96.15	33698	99.19	32376	95.3	100	6365682	21220629	33698	4092217
NFLX	84	34104	33972	32381	95.32	32742	96.38	33698	99.19	32381	95.32	100	5719727	80357401	33698	3894216
NKE	84	34104	33972	32358	95.25	32685	96.21	33683	99.15	32358	95.25	100	1108604	16196863	33683	769846
NOC	84	34104	33972	13576	39.96	21034	61.92	33683	99.15	13576	39.96	100	41978	16026533	33683	30181
NOW	84	34104	33972	31322	92.2	32119	94.55	33698	99.19	31322	92.2	100	734928	35468244	33698	484485
NVDA	84	34104	33972	32398	95.37	33292	98	33683	99.15	32398	95.37	100	27271254	58462269	33683	22080636
ORCL	84	34104	33972	32254	94.94	32634	96.06	33698	99.19	32254	94.94	100	4544897	28178035	33698	3548325
OXY	84	34104	33972	32046	94.33	32525	95.74	33698	99.19	32046	94.33	100	556104	10359037	33698	396587
PEP	84	34104	33972	31628	93.1	32256	94.95	33668	99.11	31628	93.1	100	371642	14354632	33668	267383
PFE	84	34104	33972	32276	95.01	32622	96.03	33668	99.11	32276	95.01	100	987271	10029189	33668	774931
PG	84	34104	33972	31701	93.32	32384	95.33	33698	99.19	31701	93.32	100	411500	14373553	33698	304312
PLTR	84	34104	33972	32377	95.3	32719	96.31	33683	99.15	32377	95.3	100	10053684	34083192	33683	7645297
PM	84	34104	33972	26559	78.18	29131	85.75	33683	99.15	26559	78.18	100	128467	14178600	33683	100347
PNC	84	34104	33972	19712	58.02	24323	71.6	33277	97.95	19712	58.02	100	71713	14986896	33277	53235
PSX	84	34104	33972	19760	58.17	24572	72.33	33683	99.15	19760	58.17	100	69744	14785494	33683	58673
PYPL	84	34104	33972	32366	95.27	32699	96.25	33683	99.15	32366	95.27	100	1425963	15727643	33683	1061260
QCOM	84	34104	33972	32252	94.94	32638	96.07	33683	99.15	32252	94.94	100	716760	18436681	33683	552414
QQQ	84	34104	33972	33059	97.31	35197	103.61	33924	99.86	33059	97.31	100	60603354	152886399	33924	42967886
RBLX	84	34104	33972	31679	93.25	32261	94.96	33683	99.15	31679	93.25	100	542499	19752898	33683	376871
RF	84	34104	33972	8988	26.46	17673	52.02	33698	99.19	8988	26.46	100	22555	4254140	33698	18304
RTX	84	34104	33972	29481	86.78	31043	91.38	33698	99.19	29481	86.78	100	251700	12428646	33698	179122
SBUX	84	34104	33972	32079	94.43	32535	95.77	33683	99.15	32079	94.43	100	520862	12908845	33683	344561
SCHW	84	34104	33972	28917	85.12	30470	89.69	33668	99.11	28917	85.12	100	244339	13043117	33668	180247
SHOP	84	34104	33972	32192	94.76	32558	95.84	33683	99.15	32192	94.76	100	708279	22108747	33683	580446
SLB	84	34104	33972	30515	89.82	31641	93.14	33698	99.19	30515	89.82	100	299294	10345400	33698	211025
SNOW	84	34104	33972	32205	94.8	32599	95.96	33683	99.15	32205	94.8	100	904696	24023852	33683	732809
SOFI	84	34104	33972	32373	95.29	32698	96.25	33683	99.15	32373	95.29	100	4423985	14880593	33683	3273754
SPGI	84	34104	33972	13649	40.18	20374	59.97	33698	99.19	13649	40.18	100	46749	20601360	33698	42902
SPY	84	34104	33972	33499	98.61	34874	102.66	33836	99.6	33499	98.61	100	99913843	197496966	33836	69542548
TFC	84	34104	33972	13887	40.88	20613	60.68	33698	99.19	13887	40.88	100	42892	4647874	33698	36467
TGT	84	34104	33972	32226	94.86	32608	95.98	33698	99.19	32226	94.86	100	701365	15796601	33698	544712
