dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots
2026-03-10	2026-03	AAPL	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	ABNB	open	true	true	true	false	406	390	406	390	315	0	0	0	75	75	0	315
2026-03-10	2026-03	ADBE	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	AFRM	open	true	true	true	false	406	390	406	390	364	0	0	0	26	26	0	364
2026-03-10	2026-03	ALLY	open	true	true	true	false	406	390	406	390	126	0	0	0	264	264	0	126
2026-03-10	2026-03	AMD	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	AMGN	open	true	true	true	false	406	390	406	390	326	0	0	0	64	64	0	326
2026-03-10	2026-03	AMZN	open	true	true	true	false	406	390	406	390	391	0	0	0	0	0	0	391
2026-03-10	2026-03	AVGO	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	AXP	open	true	true	true	false	406	390	406	390	384	0	0	0	6	6	0	384
2026-03-10	2026-03	BA	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	BAC	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	BLK	open	true	true	true	false	406	390	406	390	284	0	0	0	106	106	0	284
2026-03-10	2026-03	BMY	open	true	true	true	false	406	390	406	390	305	0	0	0	85	85	0	305
2026-03-10	2026-03	C	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	CAT	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	CL	open	true	true	true	false	406	390	406	390	234	0	0	0	156	156	0	234
2026-03-10	2026-03	CME	open	true	true	true	false	406	390	406	390	295	0	0	0	95	95	0	295
2026-03-10	2026-03	CMG	open	true	true	true	false	406	390	406	390	383	0	0	0	7	7	0	383
2026-03-10	2026-03	COIN	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	COP	open	true	true	true	false	406	390	406	390	353	0	0	0	37	37	0	353
2026-03-10	2026-03	COST	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	CRM	open	true	true	true	false	406	390	406	390	390	0	0	0	0	0	0	390
2026-03-10	2026-03	CSCO	open	true	true	true	false	406	390	406	390	389	0	0	0	1	1	0	389
2026-03-10	2026-03	CVS	open	true	true	true	false	406	390	406	390	334	0	0	0	56	56	0	334
