month	expectedSymbolDays	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
2025-11	1900	753400	753400	753728	637619	637619	0	812	115781	0	0	2	1896	0	1800	100
2025-12	2200	875200	837836	741246	735607	735607	37364	133954	139593	0	2051	2094	2196	0	2100	100
2026-01	2000	812000	777226	702459	702459	702459	34774	109541	109541	0	1960	1994	1994	0	2000	0
2026-02	1900	771400	740463	697674	666524	666524	31022	73811	104879	0	1777	1886	1891	0	1900	0
2026-03	600	243600	234511	226540	209912	209522	9120	17091	33689	390	490	490	595	1	600	0
