s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-04	ETN	406	406	406	358	358
2025-11-04	GE	406	406	406	347	347
2025-11-04	GILD	406	406	406	336	336
2025-11-04	GIS	406	406	406	242	242
2025-11-04	GOOGL	406	406	406	390	390
2025-11-04	GS	406	406	406	388	388
2025-11-04	HAL	406	406	406	358	358
2025-11-04	HD	406	406	406	383	383
2025-11-04	HON	406	406	406	227	227
2025-11-04	HOOD	406	406	406	390	390
2025-11-04	ICE	406	406	406	123	123
2025-11-04	INTC	406	406	406	390	390
2025-11-04	JNJ	406	406	406	355	355
2025-11-04	JPM	406	406	406	389	389
2025-11-04	KEY	406	406	406	176	176
2025-11-04	KHC	406	406	406	320	320
2025-11-04	KO	406	406	406	387	387
2025-11-04	LLY	406	406	406	389	389
2025-11-04	LMT	406	406	406	298	298
2025-11-04	LOW	406	406	406	264	264
2025-11-04	MA	406	406	406	359	359
2025-11-04	MCD	406	406	406	388	388
2025-11-04	META	406	406	406	390	390
2025-11-04	MMM	406	406	406	317	317
2025-11-04	MO	406	406	406	364	364
2025-11-04	MPC	406	406	406	216	216
2025-11-04	MRK	406	406	406	376	376
2025-11-04	MS	406	406	406	347	347
2025-11-04	MSFT	406	406	406	390	390
2025-11-04	MU	406	406	406	390	390
2025-11-04	NFLX	406	406	406	390	390
2025-11-04	NKE	406	406	406	390	390
2025-11-04	NOC	406	406	406	82	82
2025-11-04	NOW	406	406	406	378	378
2025-11-04	NVDA	406	406	406	390	390
2025-11-04	ORCL	406	406	406	382	382
2025-11-04	OXY	406	406	406	382	382
2025-11-04	PEP	406	406	406	385	385
2025-11-04	PFE	406	406	406	388	388
2025-11-04	PG	406	406	406	374	374
2025-11-04	PLTR	406	406	406	390	390
2025-11-04	PM	406	406	406	324	324
2025-11-04	PNC	406	406	406	196	196
2025-11-04	PSX	406	406	406	144	144
2025-11-04	PYPL	406	406	406	390	390
2025-11-04	QCOM	406	406	406	390	390
2025-11-04	QQQ	406	406	406	405	405
2025-11-04	RBLX	406	406	406	389	389
2025-11-04	RF	406	406	406	52	52
2025-11-04	RTX	406	406	406	311	311
2025-11-04	SBUX	406	406	406	389	389
2025-11-04	SCHW	406	406	406	303	303
2025-11-04	SHOP	406	406	406	390	390
2025-11-04	SLB	406	406	406	334	334
2025-11-04	SNOW	406	406	406	390	390
2025-11-04	SOFI	406	406	406	390	390
2025-11-04	SPGI	406	406	406	144	144
2025-11-04	SPY	406	406	406	405	405
2025-11-04	TFC	406	406	406	123	123
2025-11-04	TGT	406	406	406	386	386
2025-11-04	TSLA	406	406	406	390	390
2025-11-04	UBER	406	406	406	390	390
2025-11-04	UNH	406	406	406	390	390
2025-11-04	UPST	406	406	406	390	390
2025-11-04	USB	406	406	406	227	227
2025-11-04	V	406	406	406	385	385
2025-11-04	VLO	406	406	406	226	226
2025-11-04	WFC	406	406	406	381	381
2025-11-04	WMT	406	406	406	390	390
2025-11-04	XOM	406	406	406	388	388
2025-11-05	AAPL	406	406	406	390	390
2025-11-05	ABBV	406	406	406	343	343
2025-11-05	ABNB	406	406	406	376	376
2025-11-05	ADBE	406	406	406	389	389
2025-11-05	AFRM	406	406	406	388	388
2025-11-05	ALLY	406	406	406	123	123
2025-11-05	AMD	406	406	406	390	390
2025-11-05	AMGN	406	406	406	388	388
2025-11-05	AMZN	406	406	406	391	391
2025-11-05	AVGO	406	406	406	390	390
2025-11-05	AXP	406	406	406	349	349
2025-11-05	BA	406	406	406	390	390
2025-11-05	BAC	406	406	406	390	390
2025-11-05	BLK	406	406	406	242	242
2025-11-05	BMY	406	406	406	385	385
2025-11-05	C	406	406	406	385	385
2025-11-05	CAT	406	406	406	390	390
2025-11-05	CL	406	406	406	244	244
2025-11-05	CME	406	406	406	139	139
2025-11-05	CMG	406	406	406	387	387
2025-11-05	COIN	406	406	406	390	390
