ticker,start,end,days,price_return_pct,total_distributions,distribution_return_pct,total_return_reinvested_pct,sharpe,sortino,calmar,cagr_pct,max_drawdown_pct,vol_ann_pct,SPY_total_return_reinvested_pct,SPY_sharpe,SPY_sortino,SPY_calmar,QQQ_total_return_reinvested_pct,QQQ_sharpe,QQQ_sortino,QQQ_calmar
NVDY,2023-05-11,2026-03-13,1037,-32.09783067464258,37.902,190.35709575674068,289.7897037956643,1.437554421290803,1.8538747940039586,1.8055571730467215,61.54812470877884,-34.0881616088189,38.824030497165964,66.5391488575695,1.270843479520839,1.6716845452133335,1.050419938481,85.00627813129644,1.206867983055562,1.6404048676188747,1.063849561484263
PLTY,2024-10-08,2026-03-13,521,-20.296335537878385,68.44200000000001,133.08314173556707,137.9409098337314,1.4049524927561134,1.9695245967782948,2.2898878252412618,83.83718292308384,-36.61191696770159,53.76751462251672,17.298978399977937,0.7257767668363163,0.9276935285967817,0.6323253567869449,22.152744613887766,0.7569277840538849,0.9985357548149854,0.6628047952384494
CHPY,2025-04-08,2026-03-13,339,33.04525217388756,20.659,49.59548818968592,93.4695977288128,2.4450550907798987,3.800886892745183,9.82581239776543,104.04211658633349,-10.58865286396009,31.147714683068155,34.558826492799774,1.9408858097880857,3.1100860833360797,5.972239617743066,43.210720618381245,1.9539075276155928,3.195079909590335,6.0173466045217
NFLY,2023-08-08,2026-03-13,948,-43.56614347539938,19.602,98.06883703744913,79.17043254029899,0.9306943713786229,1.3405105288307426,0.6786051423411458,25.222599587529217,-37.16830011118514,28.575541206807088,52.38275727326378,1.1300492949243015,1.4749597360788043,0.9405632050905078,62.006396145491706,1.0363091057278602,1.3993226439801403,0.8982758154748107
GDXY,2024-05-21,2026-03-13,661,-26.106887610256436,13.831,69.66705058945938,71.5015085223906,1.1478511391178587,1.2393975899940899,1.9506534664865915,34.78638020912772,-17.833193238460243,30.189173854848377,27.32618460970171,0.8800911121271195,1.1193716786694092,0.7626811156577171,31.52360250118409,0.8173884328299839,1.0730451470583109,0.7191784299881571
GOOY,2023-07-28,2026-03-13,959,-34.48780338938643,14.027999999999999,68.42926829268292,65.44702576320418,0.9654221793483233,1.1948994535503945,0.8692796881889681,21.210708638775856,-24.40032699138022,22.646964429393122,49.6580684326551,1.076487263405039,1.409912217252153,0.8879546403589567,57.15649963366531,0.9693761293876466,1.310268385981833,0.8280454203089475
TSMY,2024-08-21,2026-03-13,569,-23.86800511482894,12.997,64.88442869000448,64.69228256225969,1.1442278997404116,1.4285703682827267,1.2141898130956443,37.82589364483611,-31.153196342832835,32.986728586844805,20.29267892508868,0.7770317207858922,0.9943129402411202,0.6726288958125285,24.0483402371231,0.7533746479065262,0.9946586321643314,0.652829563765847
MSTY,2024-02-22,2026-03-13,749,-77.41600555687201,228.773,215.90506037813313,61.67676044731103,0.6842481691129123,1.0454228143754016,0.36831580427715527,26.43958702163045,-71.78510048875022,73.14278247537396,33.72660268568299,0.9552359847562581,1.22258923378345,0.8129856991701074,37.02768978337034,0.8441922186351708,1.118143321195905,0.7303249152293277
FBY,2023-07-28,2026-03-13,959,-46.42683755928908,19.987000000000002,96.90197097012715,61.12876976586139,0.7949169667420991,1.058926044049012,0.6340290782310019,19.992109911745224,-31.531850191358746,27.88088846157006,49.658078753189436,1.0764873632299272,1.4099116046133202,0.8879548042332394,57.15649963366531,0.9693764199069246,1.3102680527150723,0.8280456270672277
AMZY,2023-07-25,2026-03-13,962,-44.86559285285069,18.987000000000002,94.69352868428335,58.00894688240943,0.8178322446476401,1.1073329817785391,0.8015230751018273,18.990834410449374,-23.69343441302265,25.21216622825191,50.14439916449604,1.0810550213738839,1.4167110839857464,0.8906396227163453,59.10655059653662,0.9896091385534235,1.3391118431596951,0.8478594061013697
