Universe,HorizonYears,Mode,Count,AvgCalmar,AvgSPYCalmarMatched,AvgQQQCalmarMatched,CountBeatSPY,CountBeatQQQ,CountBeatEither,CountBeatBoth
HedgeStyleETF,1,full,157,1.7547177477457414,1.5823933469230558,1.7699284903812431,76,55,76,55
HedgeStyleETF,1,partial,43,1.5859328407473483,0.7524590586486376,0.44823546516304114,23,25,26,22
HedgeStyleETF,2,full,123,0.8682095943595733,0.8026619316286707,0.746524657912504,60,70,70,60
HedgeStyleETF,2,partial,35,1.085450669538563,0.7389423832884775,0.7296167406799745,17,17,18,16
HedgeStyleETF,3,full,84,1.0412179107480861,1.1679491478510027,1.240118271957278,31,25,31,25
HedgeStyleETF,3,partial,39,0.8076052375857419,1.0101864739962862,0.9358167949073996,9,19,19,9
HedgeStyleETF,4,full,66,0.574210709983228,0.6197906578491367,0.5867274769487759,28,31,31,28
HedgeStyleETF,4,partial,19,0.797482061116414,0.9288490518260505,1.018287804053888,7,6,7,6
HedgeStyleETF,5,full,53,0.4264342657655528,0.4989301693709525,0.38833949106997023,19,31,31,19
HedgeStyleETF,5,partial,13,0.4091329553965951,0.48257096115223164,0.3871448251054362,3,6,6,3
