Universe,HorizonYears,Mode,Count,AvgCalmar,AvgSPYCalmarMatched,AvgQQQCalmarMatched,CountBeatSPY,CountBeatQQQ,CountBeatEither,CountBeatBoth
ManagerComposite,1,full,18,1.2481171948392322,1.5746147767076382,1.7556154793354999,8,6,8,6
ManagerComposite,1,partial,4,-0.47429941185022656,1.0500038113562953,1.188074486559475,1,1,1,1
ManagerComposite,2,full,16,0.7165048086191975,0.7881154448457747,0.7412538228397494,8,9,9,8
ManagerComposite,2,partial,2,0.13893580918072246,0.7992342594266342,0.769020879555629,0,0,0,0
ManagerComposite,3,full,11,0.9589343677108488,1.144431473353803,1.2192127560703698,4,3,4,3
ManagerComposite,3,partial,5,0.8844938932634172,1.0536624081122858,0.9662448432330081,2,3,3,2
ManagerComposite,4,full,9,0.6989899183621126,0.6293578531790636,0.599138774580446,6,6,6,6
ManagerComposite,4,partial,2,0.36370019473284954,0.9222983378379144,1.0072971674505813,0,0,0,0
ManagerComposite,5,full,8,0.5579355716965264,0.5061458356663489,0.39814323416500463,5,5,5,5
ManagerComposite,5,partial,1,0.3088186009330023,0.4085990183894515,0.30332030493638035,0,1,1,0
