HorizonYears,Mode,PersonId,Person,FundsUsed,AssignmentsUsed,Start,End,TradingDays,Calmar,AnnualizedReturn,MaxDrawdown,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
1,full,PM::Andrew Beer,Andrew Beer,1,1,2025-03-13,2026-03-13,251,6.327276170091981,0.2972839871672657,-0.04698451263633463,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Mathias Mamou-Mani,Mathias Mamou-Mani,1,1,2025-03-13,2026-03-13,251,6.327276170091981,0.2972839871672657,-0.04698451263633463,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Greg Stoner,Greg Stoner,1,1,2025-03-13,2026-03-13,251,5.690189321341416,0.03889869223461129,-0.006836098069482377,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Zachary Wainwright,Zachary Wainwright,1,1,2025-03-13,2026-03-13,251,5.690189321341416,0.03889869223461129,-0.006836098069482377,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Daniel Snover,Daniel Snover,1,1,2025-03-13,2026-03-13,251,4.226971181972935,0.24915703129190225,-0.05894457770483508,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Jeffrey W. Kernagis,Jeffrey W. Kernagis,1,1,2025-03-13,2026-03-13,251,4.226971181972935,0.24915703129190225,-0.05894457770483508,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Daniel J. Lindquist,Daniel J. Lindquist,1,1,2025-03-13,2026-03-13,251,3.840884730253284,0.2126288901826736,-0.05535935210652676,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Ali Toyran,Ali Toyran,1,1,2025-03-13,2026-03-13,251,3.821607339009783,0.16571711860451943,-0.04336319875486172,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Clifford Stanton,Clifford Stanton,1,1,2025-03-13,2026-03-13,251,3.821607339009783,0.16571711860451943,-0.04336319875486172,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Paul Wright,Paul Wright,1,1,2025-03-13,2026-03-13,251,3.821607339009783,0.16571711860451943,-0.04336319875486172,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::David Orr,David Orr,1,1,2025-03-13,2026-03-13,251,3.5906680363530734,0.31012603271107,-0.08637000958352448,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Jerry Ralph Parker,Jerry Ralph Parker,1,1,2025-03-13,2026-03-13,251,3.517840441416721,0.23738565473460227,-0.06748050648908943,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Jon Robinson,Jon Robinson,1,1,2025-03-13,2026-03-13,251,3.517840441416721,0.23738565473460227,-0.06748050648908943,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Brian Murphy,Brian Murphy,1,1,2025-03-13,2026-03-13,251,3.123356369183712,0.07580937026856294,-0.02427176450837587,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Michael Grayson,Michael Grayson,1,1,2025-03-13,2026-03-13,251,3.123356369183712,0.07580937026856294,-0.02427176450837587,1.5746147767076384,1.7556156393827367,True,True,True
1,full,PM::Michael Peck,Michael Peck,1,1,2025-03-13,2026-03-13,251,3.123356369183712,0.07580937026856294,-0.02427176450837587,1.5746147767076384,1.7556156393827367,True,True,True
