date,lb252_k8_ew_ma1_vt0,lb252_k8_ew_ma1_vt20,lb252_k8_ew_ma0_vt0,lb252_k8_ew_ma0_vt20,lb252_k8_invvol_ma1_vt0,lb252_k8_invvol_ma1_vt20,lb252_k8_invvol_ma0_vt0,lb252_k8_invvol_ma0_vt20,lb252_k10_ew_ma1_vt0,lb252_k10_ew_ma1_vt20,lb252_k10_ew_ma0_vt0,lb252_k10_ew_ma0_vt20,lb252_k10_invvol_ma1_vt0,lb252_k10_invvol_ma1_vt20,lb252_k10_invvol_ma0_vt0,lb252_k10_invvol_ma0_vt20,lb252_k12_ew_ma1_vt0,lb252_k12_ew_ma1_vt20,lb252_k12_ew_ma0_vt0,lb252_k12_ew_ma0_vt20,lb252_k12_invvol_ma1_vt0,lb252_k12_invvol_ma1_vt20,lb252_k12_invvol_ma0_vt0,lb252_k12_invvol_ma0_vt20,lb252_k15_ew_ma1_vt0,lb252_k15_ew_ma1_vt20,lb252_k15_ew_ma0_vt0,lb252_k15_ew_ma0_vt20,lb252_k15_invvol_ma1_vt0,lb252_k15_invvol_ma1_vt20,lb252_k15_invvol_ma0_vt0,lb252_k15_invvol_ma0_vt20,lb252_k20_ew_ma1_vt0,lb252_k20_ew_ma1_vt20,lb252_k20_ew_ma0_vt0,lb252_k20_ew_ma0_vt20,lb252_k20_invvol_ma1_vt0,lb252_k20_invvol_ma1_vt20,lb252_k20_invvol_ma0_vt0,lb252_k20_invvol_ma0_vt20,lb252_k25_ew_ma1_vt0,lb252_k25_ew_ma1_vt20,lb252_k25_ew_ma0_vt0,lb252_k25_ew_ma0_vt20,lb252_k25_invvol_ma1_vt0,lb252_k25_invvol_ma1_vt20,lb252_k25_invvol_ma0_vt0,lb252_k25_invvol_ma0_vt20
2017-07-31,0.040385727803225344,0.040385727803225344,0.040385727803225344,0.040385727803225344,0.03665939943679506,0.03665939943679506,0.03665939943679506,0.03665939943679506,0.028105927998612716,0.028105927998612716,0.028105927998612716,0.028105927998612716,0.022220674116636713,0.022220674116636713,0.022220674116636713,0.022220674116636713,0.025738602429750124,0.025738602429750124,0.025738602429750124,0.025738602429750124,0.020661601578130902,0.020661601578130902,0.020661601578130902,0.020661601578130902,0.028279239082431285,0.028279239082431285,0.028279239082431285,0.028279239082431285,0.024437395047878667,0.024437395047878667,0.024437395047878667,0.024437395047878667,0.029874891740570578,0.029874891740570578,0.029874891740570578,0.029874891740570578,0.025893785304110708,0.025893785304110708,0.025893785304110708,0.025893785304110708,0.03255784645853347,0.03255784645853347,0.03255784645853347,0.03255784645853347,0.030687169071035816,0.030687169071035816,0.030687169071035816,0.030687169071035816
2017-08-31,0.04652715190657139,0.04652715190657139,0.04652715190657139,0.04652715190657139,0.04136766095027807,0.04136766095027807,0.04136766095027807,0.04136766095027807,0.04418853302215006,0.04418853302215006,0.04418853302215006,0.04418853302215006,0.03952010461122854,0.03952010461122854,0.03952010461122854,0.03952010461122854,0.02994602734693218,0.02994602734693218,0.02994602734693218,0.02994602734693218,0.02517931979716775,0.02517931979716775,0.02517931979716775,0.02517931979716775,0.022292708284618507,0.022292708284618507,0.022292708284618507,0.022292708284618507,0.01754748609096657,0.01754748609096657,0.01754748609096657,0.01754748609096657,0.022796982626683573,0.022796982626683573,0.022796982626683573,0.022796982626683573,0.018818576229684858,0.018818576229684858,0.018818576229684858,0.018818576229684858,0.02135800863910762,0.02135800863910762,0.02135800863910762,0.02135800863910762,0.015859566276787182,0.015859566276787182,0.015859566276787182,0.015859566276787182
2017-09-29,-0.0258188762258085,-0.0258188762258085,-0.0258188762258085,-0.0258188762258085,-0.023380211692801876,-0.023380211692801876,-0.023380211692801876,-0.023380211692801876,-0.019765539254229806,-0.019765539254229806,-0.019765539254229806,-0.019765539254229806,-0.018605691239426018,-0.018605691239426018,-0.018605691239426018,-0.018605691239426018,-0.007648194587380781,-0.007648194587380781,-0.007648194587380781,-0.007648194587380781,-0.0031955932790211088,-0.0031955932790211088,-0.0031955932790211088,-0.0031955932790211088,0.0018062548469315724,0.0018062548469315724,0.0018062548469315724,0.0018062548469315724,0.009938145595155923,0.009938145595155923,0.009938145595155923,0.009938145595155923,0.010143165820484096,0.010143165820484096,0.010143165820484096,0.010143165820484096,0.016816728617401345,0.016816728617401345,0.016816728617401345,0.016816728617401345,0.013148322455793698,0.013148322455793698,0.013148322455793698,0.013148322455793698,0.01912328666770361,0.01912328666770361,0.01912328666770361,0.01912328666770361
2017-10-31,0.03253095605858679,0.03253095605858679,0.03253095605858679,0.03253095605858679,0.02158750965233023,0.02158750965233023,0.02158750965233023,0.02158750965233023,0.03938851642991351,0.03938851642991351,0.03938851642991351,0.03938851642991351,0.030103296195546324,0.030103296195546324,0.030103296195546324,0.030103296195546324,0.041049243156374156,0.041049243156374156,0.041049243156374156,0.041049243156374156,0.0349028653907537,0.0349028653907537,0.0349028653907537,0.0349028653907537,0.02963672826738689,0.02963672826738689,0.02963672826738689,0.02963672826738689,0.026454775223422086,0.026454775223422086,0.026454775223422086,0.026454775223422086,0.030068500328881684,0.030068500328881684,0.030068500328881684,0.030068500328881684,0.027536236227136048,0.027536236227136048,0.027536236227136048,0.027536236227136048,0.026682218455421673,0.026682218455421673,0.026682218455421673,0.026682218455421673,0.024710512691733157,0.024710512691733157,0.024710512691733157,0.024710512691733157
2017-11-30,0.024858127910510744,0.024858127910510744,0.024858127910510744,0.024858127910510744,0.02344879138538637,0.02344879138538637,0.02344879138538637,0.02344879138538637,0.02388437785577972,0.02388437785577972,0.02388437785577972,0.02388437785577972,0.02270609418616089,0.02270609418616089,0.02270609418616089,0.02270609418616089,0.023668486279850215,0.023668486279850215,0.023668486279850215,0.023668486279850215,0.022261778631279937,0.022261778631279937,0.022261778631279937,0.022261778631279937,0.01760041398998316,0.01760041398998316,0.01760041398998316,0.01760041398998316,0.015617867960779639,0.015617867960779639,0.015617867960779639,0.015617867960779639,0.0052670398693218734,0.0052670398693218734,0.0052670398693218734,0.0052670398693218734,0.0010651577774956342,0.0010651577774956342,0.0010651577774956342,0.0010651577774956342,0.005623144906016577,0.005623144906016577,0.005623144906016577,0.005623144906016577,0.0024439653744023574,0.0024439653744023574,0.0024439653744023574,0.0024439653744023574
2017-12-29,0.014542454954269673,0.014542454954269673,0.014542454954269673,0.014542454954269673,0.01605992839571274,0.01605992839571274,0.01605992839571274,0.01605992839571274,0.0068466684138782435,0.0068466684138782435,0.0068466684138782435,0.0068466684138782435,0.00899148076543247,0.00899148076543247,0.00899148076543247,0.00899148076543247,0.019013082908086544,0.019013082908086544,0.019013082908086544,0.019013082908086544,0.021131316658309203,0.021131316658309203,0.021131316658309203,0.021131316658309203,0.020162965237947972,0.020162965237947972,0.020162965237947972,0.020162965237947972,0.020783374025609775,0.020783374025609775,0.020783374025609775,0.020783374025609775,0.019009576667412934,0.019009576667412934,0.019009576667412934,0.019009576667412934,0.018454283989713396,0.018454283989713396,0.018454283989713396,0.018454283989713396,0.018673659292993413,0.018673659292993413,0.018673659292993413,0.018673659292993413,0.017544046522421954,0.017544046522421954,0.017544046522421954,0.017544046522421954
2018-01-31,0.075685320006454,0.075685320006454,0.075685320006454,0.075685320006454,0.0613985242396377,0.0613985242396377,0.0613985242396377,0.0613985242396377,0.08131941050530282,0.08131941050530282,0.08131941050530282,0.08131941050530282,0.07000118468521946,0.07000118468521946,0.07000118468521946,0.07000118468521946,0.07159554048047304,0.07159554048047304,0.07159554048047304,0.07159554048047304,0.06312457063952907,0.06312457063952907,0.06312457063952907,0.06312457063952907,0.07083371408054372,0.07083371408054372,0.07083371408054372,0.07083371408054372,0.06361629825954856,0.06361629825954856,0.06361629825954856,0.06361629825954856,0.07486387228334675,0.07486387228334675,0.07486387228334675,0.07486387228334675,0.0694305793622294,0.0694305793622294,0.0694305793622294,0.0694305793622294,0.07659633206663265,0.07659633206663265,0.07659633206663265,0.07659633206663265,0.07204915323712112,0.07204915323712112,0.07204915323712112,0.07204915323712112
2018-02-28,-0.063032737195845,-0.063032737195845,-0.063032737195845,-0.063032737195845,-0.06286242982666841,-0.06286242982666841,-0.06286242982666841,-0.06286242982666841,-0.06292563517878014,-0.06292563517878014,-0.06292563517878014,-0.06292563517878014,-0.06475459094274025,-0.06475459094274025,-0.06475459094274025,-0.06475459094274025,-0.06508120898696884,-0.06508120898696884,-0.06508120898696884,-0.06508120898696884,-0.0663812610887708,-0.0663812610887708,-0.0663812610887708,-0.0663812610887708,-0.05721056785827384,-0.05721056785827384,-0.05721056785827384,-0.05721056785827384,-0.05836133321358522,-0.05836133321358522,-0.05836133321358522,-0.05836133321358522,-0.052852127065212806,-0.052852127065212806,-0.052852127065212806,-0.052852127065212806,-0.05124226855885371,-0.05124226855885371,-0.05124226855885371,-0.05124226855885371,-0.048693070657458634,-0.048693070657458634,-0.048693070657458634,-0.048693070657458634,-0.04694500889987235,-0.04694500889987235,-0.04694500889987235,-0.04694500889987235
2018-03-30,-0.023280065344233228,-0.020090281426239708,-0.023280065344233228,-0.020090281426239708,-0.015814303831574724,-0.015403348224686293,-0.015814303831574724,-0.015403348224686293,-0.023479157895152987,-0.021671865077785332,-0.023479157895152987,-0.021671865077785332,-0.017520865729413568,-0.017520865729413568,-0.017520865729413568,-0.017520865729413568,-0.029368370632005134,-0.028271982616468596,-0.029368370632005134,-0.028271982616468596,-0.024457638709881817,-0.024457638709881817,-0.024457638709881817,-0.024457638709881817,-0.024670430056484876,-0.024670430056484876,-0.024670430056484876,-0.024670430056484876,-0.01984435091960044,-0.01984435091960044,-0.01984435091960044,-0.01984435091960044,-0.021080997250915397,-0.021080997250915397,-0.023568112049229935,-0.023568112049229935,-0.016246697500299334,-0.016246697500299334,-0.018670400934148894,-0.018670400934148894,-0.02142993134872231,-0.02142993134872231,-0.02084421908514554,-0.02084421908514554,-0.016767658579933526,-0.016767658579933526,-0.01637742359910052,-0.01637742359910052
2018-04-30,-0.02977339343697928,-0.020881167077773884,-0.02977339343697928,-0.020881167077773884,-0.030129337731116337,-0.02435790738285076,-0.030129337731116337,-0.02435790738285076,-0.01896607238086915,-0.014461243164190191,-0.01896607238086915,-0.014461243164190191,-0.016356134103230436,-0.014371365291988262,-0.016356134103230436,-0.014371365291988262,-0.007185635056141827,-0.005849629473080143,-0.007185635056141827,-0.005849629473080143,-0.0011844361051417869,-0.0010978295002495387,-0.0011844361051417869,-0.0010978295002495387,0.0002586855246576195,0.00023407444104928972,0.0002586855246576195,0.00023407444104928972,0.0036887921028468094,0.003677520023436372,0.0036887921028468094,0.003677520023436372,0.0028916074452398277,0.0026173472601016363,0.0028916074452398277,0.0026173472601016363,0.006073916033172932,0.006016074525351254,0.006081135719758127,0.006022235665424347,0.00675315401403998,0.006486286211368639,0.00675315401403998,0.006486286211368639,0.010298405500273666,0.010298405500273666,0.010296424445429957,0.010296424445429957
