Universe,HorizonYears,Mode,Count,AvgCalmar,AvgSPYCalmarMatched,AvgQQQCalmarMatched,CountBeatSPY,CountBeatQQQ,CountBeatEither,CountBeatBoth
ManagerEquity,1,full,18,0.4505433950246953,1.5746147767076382,1.7556154793354999,3,3,3,3
ManagerEquity,2,full,18,0.32080363999392114,0.7881154448457746,0.7412538228397493,4,4,4,4
ManagerEquity,3,full,18,0.4421345775894553,1.1444314733538026,1.21921275607037,0,0,0,0
ManagerEquity,4,full,17,0.28340254620595534,0.6293578531790636,0.599138774580446,2,2,2,2
ManagerEquity,4,partial,1,0.44194732943778114,0.9420059726908512,1.0930546860690726,0,0,0,0
ManagerEquity,5,full,16,0.24695233207501155,0.5061458356663489,0.39814323416500463,0,3,3,0
ManagerEquity,5,partial,1,0.19372747188098732,0.4655002416918495,0.3931707991970826,0,0,0,0
