Ticker,Reason,Name
IMRA,single-stock option wrapper,Bitwise MARA Option Income Strategy ETF
IMST,single-stock option wrapper,Bitwise MSTR Option Income Strategy ETF
IRVH,not hedge/alternative target area,Global X Interest Rate Volatility & Inflation Hedge ETF
IVV,not hedge/alternative target area,iShares Core S&P 500 ETF
JPO,quoteType=EQUITY,YieldMax JP Option Income Strategy ETF
KWIN,not hedge/alternative target area,KraneShares Wahed Alternative Income Index ETF
LFEQ,not hedge/alternative target area,VanEck Long/Flat Trend ETF
LQDH,not hedge/alternative target area,iShares Interest Rate Hedged Corporate Bond ETF
LQDI,not hedge/alternative target area,iShares Inflation Hedged Corporate Bond ETF
MARO,single-stock option wrapper,YieldMax MARA Option Income Strategy ETF
MATE,not hedge/alternative target area,Man Active Trend Enhanced ETF
MEMA,not hedge/alternative target area,Man Active Emerging Markets Alternative ETF
MINY,quoteType=EQUITY,YieldMax Strategic Metals & Mining Portfolio Option Income ETF
MJ,not hedge/alternative target area,Amplify Alternative Harvest ETF
MKTN,quoteType=EQUITY,Federated Hermes MDT Market Neutral ETF
MRNY,single-stock option wrapper,YieldMax MRNA Option Income Strategy ETF
MSFO,single-stock option wrapper,YieldMax MSFT Option Income Strategy ETF
MSTY,single-stock option wrapper,Yieldmax MSTR Option Income Strategy ETF
NALT.NE,No/insufficient price history,NBI LIQUID ALTERNATIVES ETF
NALT.TO,non-US-like symbol/exchange=TOR,NBI Liquid Alternatives ETF
NFLY,single-stock option wrapper,YieldMax NFLX Option Income Strategy ETF
NVDY,single-stock option wrapper,YieldMax NVDA Option Income Strategy ETF
NVOH,not hedge/alternative target area,Precidian ETFs Trust - Novo Nordisk A/S (B Shares) ADRhedged
OARK,single-stock option wrapper,YieldMax Innovation Option Income Strategy ETF
PFIX,not hedge/alternative target area,Simplify Interest Rate Hedge ETF
PLTY,single-stock option wrapper,YieldMax PLTR Option Income Strategy ETF
PRAE,not hedge/alternative target area,PlanRock Alternative Growth ETF
PTBD,not hedge/alternative target area,Pacer Trendpilot US Bond ETF
PTEU,not hedge/alternative target area,Pacer Trendpilot European Index ETF
PTIN,not hedge/alternative target area,Pacer Trendpilot International ETF
PTLC,not hedge/alternative target area,Pacer Trendpilot US Large Cap ETF
PTMC,not hedge/alternative target area,Pacer Trendpilot US Mid Cap ETF
PTNQ,not hedge/alternative target area,Pacer Trendpilot 100 ETF
PYPY,single-stock option wrapper,Yieldmax PYPL Option Income Strategy ETF
QBER,not hedge/alternative target area,TrueShares Quarterly Bear Hedge
QBUL,not hedge/alternative target area,TrueShares Quarterly Bull Hedge
QDTY,single-stock option wrapper,YieldMax Nasdaq 100 0DTE Covered Call Strategy ETF
QQQ,not hedge/alternative target area,Invesco QQQ Trust
RBLY,quoteType=EQUITY,YieldMax(TM) RBLX Option Income Strategy ETF
RDTY,single-stock option wrapper,YieldMax Russell 2000 0DTE Covered Call Strategy ETF
RDYY,quoteType=EQUITY,YieldMax RDDT Option Income Str
RISR,not hedge/alternative target area,FolioBeyond Alternative Income and Interest Rate Hedge ETF
RPHS,not hedge/alternative target area,Regents Park Hedged Market Strategy ETF
RYSE,not hedge/alternative target area,Cboe Vest 10 Year Interest Rate Hedge ETF
SAPH,not hedge/alternative target area,Precidian ETFs Trust  - SAP SE ADRhedged
SCHD,not hedge/alternative target area,Schwab U.S. Dividend Equity ETF
SCO,not hedge/alternative target area,ProShares UltraShort Bloomberg Crude Oil
SDMF,quoteType=EQUITY,Simplify DBi CTA Managed Future
SDTY,single-stock option wrapper,YieldMax S&P 500 0DTE Covered Call Strategy ETF
SHEH,not hedge/alternative target area,Shell PLC ADRhedged
SLJY,quoteType=EQUITY,Amplify SILJ Junior Silver Miners Covered Call ETF
SLTY,quoteType=EQUITY,YieldmaxTM Ultra Short Option Income Strategy ETF
SLVO,ETN instrument,UBS ETRACS Silver Shares Covered Call ETN
SMCY,single-stock option wrapper,YieldMax SMCI Option Income Str
SMH,not hedge/alternative target area,VanEck Semiconductor ETF
SNOY,single-stock option wrapper,YieldMax SNOW Option Income Strategy ETF
SPUT,leveraged/inverse ETP,Innovator Equity Premium Income - Daily PutWrite ETF
SPY,not hedge/alternative target area,State Street SPDR S&P 500 ETF Trust
STHH,not hedge/alternative target area,STMicroelectronics NV ADRhedged
STRN,quoteType=EQUITY,SMART Trend 25 ETF
TFFI,quoteType=EQUITY,Chesapeake Trend-Following Fixed Income ETF
THMZ,not hedge/alternative target area,Lazard Equity Megatrends ETF
TMH,not hedge/alternative target area,Toyota Motor Corporation ADRhedged
TRND,not hedge/alternative target area,Pacer Trendpilot Fund of Funds ETF
TSLY,single-stock option wrapper,YieldMax TSLA Option Income Strategy ETF
TSMY,single-stock option wrapper,YieldMax TSM Option Income Strategy ETF
ULTY,leveraged/inverse ETP,YieldMax Ultra Option Income Strategy ETF
UPAR,leveraged/inverse ETP,UPAR Ultra Risk Parity ETF
USO,not hedge/alternative target area,"United States Oil Fund, LP"
USOI,ETN instrument,UBS ETRACS Crude Oil Shares Covered Call ETN
VOO,not hedge/alternative target area,Vanguard S&P 500 ETF
VTI,not hedge/alternative target area,Vanguard Total Stock Market Index Fund ETF Shares
WNTR,single-stock option wrapper,YieldMax MSTR Short Option Income Strategy ETF
XLBI,quoteType=EQUITY,The Materials Select Sector SPDR Premium Income Fund
XLCI,quoteType=EQUITY,State Street Communication Services Select Sector SPDR Premium Income ETF
XLE,not hedge/alternative target area,State Street Energy Select Sector SPDR ETF
XLEI,quoteType=EQUITY,State Street Energy Select Sector SPDR Premium Income ETF
XLFI,quoteType=EQUITY,State Street Financial Select Sector SPDR Premium Income ETF
XLII,quoteType=EQUITY,State Street Industrial Select Sector SPDR Premium Income ETF
XLKI,quoteType=EQUITY,State Street Technology Select Sector SPDR Premium Income ETF
XLRI,quoteType=EQUITY,State Street Real Estate Select Sector SPDR Premium Income ETF
XLSI,quoteType=EQUITY,State Street Consumer Staples Select Sector SPDR Premium Income ETF
XLUI,quoteType=EQUITY,State Street Utilities Select Sector SPDR Premium Income ETF
XLVI,quoteType=EQUITY,State Street Health Care Select Sector SPDR Premium Income ETF
XLYI,quoteType=EQUITY,State Street Consumer Discretionary Select Sector SPDR Premium Income ETF
XOMO,single-stock option wrapper,Yieldmax XOM Option Income Strategy ETF
XVOL,not hedge/alternative target area,Acruence Active Hedge U.S. Equity ETF
XYZY,single-stock option wrapper,YieldMax XYZ Option Income Strategy ETF
YBIT,single-stock option wrapper,YieldMax Bitcoin Option Income Strategy ETF
YQQQ,single-stock option wrapper,YieldMax Short N100 Option Income Strategy ETF
^ARB-IV,No/insufficient price history,ALTSHARES MERGER ARBITRAGE ETF
