Universe,HorizonYears,Mode,Ticker,Name,Provider,Manager,Start,End,TradingDays,AnnualizedReturn,MaxDrawdown,Calmar,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
ManagerEquity,1,full,AMG,"Affiliated Managers Group, Inc.",,Affiliated Managers Group,2025-03-13,2026-03-13,251,0.7161811310729758,-0.182344973845318,3.927616517033847,1.5746147767076384,1.7556154793354999,True,True,True
ManagerEquity,1,full,BHMG.L,BH Macro Limited,,Brevan Howard,2025-03-13,2026-03-13,253,0.14975888992589725,-0.05616605616605641,2.666359366289333,1.5746147767076384,1.7556154793354999,True,True,True
ManagerEquity,1,full,MNGPF,Man Group Plc,,Man Group,2025-03-13,2026-03-13,251,0.49392092769743257,-0.2773665958454048,1.7807513056573265,1.5746147767076384,1.7556154793354999,True,True,True
ManagerEquity,1,full,BN,Brookfield Corporation,,Brookfield Corporation,2025-03-13,2026-03-13,251,0.19123981086342035,-0.21964611834949377,0.8706723902087165,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,AB,AllianceBernstein Holding L.P.,,AllianceBernstein,2025-03-13,2026-03-13,251,0.13297387788541903,-0.15406301198299344,0.8631135804361506,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,EMG.L,Man Group Plc,,Man Group,2025-03-13,2026-03-13,253,0.2242503190578784,-0.26902017350283824,0.8335817947701699,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,PSHZF,"Pershing Square Holdings, Ltd.",,Pershing Square,2025-03-13,2026-03-13,251,0.1609307138680074,-0.2032037573467722,0.7919672154160771,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,CG,The Carlyle Group Inc.,,Carlyle Group,2025-03-13,2026-03-13,251,0.1573269631319889,-0.33800129169990345,0.46546260915379173,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,BAM,Brookfield Asset Management Ltd.,,Brookfield Asset Management,2025-03-13,2026-03-13,251,-0.026597570552438277,-0.30269804623212815,-0.08786832582342327,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,TFG.L,Tetragon Financial Group Limited,,Tetragon,2025-03-13,2026-03-13,253,-0.03241799419647007,-0.2590121339219972,-0.12516013711632873,1.5746147767076384,1.7556154793354999,False,False,False
