date,strategy,spy
2017-07-31,1.0258937853041108,1.020554188773425
2017-08-31,1.045199645706416,1.0235320606628693
2017-09-29,1.0627764844992649,1.0441555561654998
2017-10-31,1.0920413488330818,1.068760024400024
2017-11-30,1.0932045451691381,1.1014273203070963
2017-12-29,1.113378852304535,1.1147855586792268
2018-01-31,1.1906813910696927,1.1776139554349767
2018-02-28,1.12966817546047,1.1347955773761111
2018-03-30,1.1113147983380487,1.103690036552963
2018-04-30,1.1180648311095764,1.1093941903869613
2018-05-31,1.1100137140542745,1.1363626916010603
2018-06-29,1.1064618026750435,1.142897801977277
2018-07-31,1.1068739052584962,1.1852382750141712
2018-08-31,1.1746852416098317,1.223070696557252
2018-09-28,1.1785125068809537,1.2303426164036209
2018-10-31,1.0624194207380913,1.1453207855081298
2018-11-30,1.0671978754865885,1.1665657241072198
2018-12-31,0.9965976339723517,1.0638511236416843
2019-01-31,0.999231556415045,1.1490294559392793
2019-02-28,1.0191125241135774,1.1862759205899869
2019-03-29,1.031923192112916,1.207748188157704
2019-04-30,1.0502629747108332,1.2570874821111515
2019-05-31,1.0187233077862978,1.1769216847719939
2019-06-28,1.043600768072944,1.258819498553865
2019-07-31,1.050628177012951,1.2778519809594067
2019-08-30,1.057743475324656,1.2564565518866604
2019-09-30,1.0486514525360842,1.2809040841941335
2019-10-31,1.0539279634207277,1.3092181643305278
2019-11-29,1.0529191346799143,1.3566097726254058
2019-12-31,1.0729113252466442,1.3960268342330049
2020-01-31,1.0847586754427079,1.3954628208505055
2020-02-28,1.023212304025157,1.284989777438494
2020-03-31,0.9467290972931963,1.1245316635794873
2020-04-30,0.9440790742254047,1.2673283660855303
2020-05-29,0.9813337298315151,1.3277108219090081
2020-06-30,1.0318591889721707,1.351257294315986
2020-07-31,1.1170766634336706,1.4308356139254523
2020-08-31,1.2218422607698007,1.5307032069317155
2020-09-30,1.1876942951980132,1.4733880627161442
2020-10-30,1.1774779078149253,1.436651440671086
2020-11-30,1.3257937640774047,1.5929254413850105
2020-12-31,1.4357439859787164,1.6519408817220917
2021-01-29,1.5133889504263822,1.6351069507117626
2021-02-26,1.5275922365401775,1.680572020228874
2021-03-31,1.5381962491871006,1.7568685177477728
2021-04-30,1.5950922701612011,1.8498252811394513
2021-05-31,1.6354375236973253,1.861971412169146
2021-06-30,1.623564566011482,1.903730563246446
2021-07-30,1.615784662692566,1.950205758426
2021-08-31,1.6203858792987478,2.008243227946791
2021-09-30,1.6146728006360271,1.9146480025648562
2021-10-29,1.7151109745025648,2.048986604537324
2021-11-30,1.6471212569959364,2.032523468149285
2021-12-31,1.6885304388745317,2.1265230914161553
2022-01-31,1.6674916402156668,2.0143675674055017
2022-02-28,1.7294098994810363,1.9549096358297104
2022-03-31,1.8594176977589034,2.02839533630167
2022-04-29,1.8798311259792821,1.8503651059665132
2022-05-31,1.907832855394123,1.8545413252417065
2022-06-30,1.7347523336393973,1.7016153392520943
2022-07-29,1.7269933364987098,1.858312856948666
2022-08-31,1.7245250730689492,1.7824899916230832
2022-09-30,1.6411784976562334,1.6177062543275966
2022-10-31,1.6437797825563112,1.749185971825547
2022-11-30,1.656771764694944,1.846426282154574
2022-12-30,1.6157965949880528,1.7400198128892117
2023-01-31,1.655777430680228,1.849444926968305
2023-02-28,1.606510647290958,1.802945108708365
2023-03-31,1.5991372516612918,1.8697941648079253
2023-04-28,1.6693455023999546,1.8996639890997964
2023-05-31,1.6245953119051857,1.9084335716002603
2023-06-30,1.7426397473673803,2.0320992269583913
2023-07-31,1.8273249633488253,2.0986167405226306
2023-08-31,1.7704286794972608,2.0645100083044956
2023-09-29,1.667788989971852,1.966580975932894
2023-10-31,1.620924069687024,1.923889334317194
2023-11-30,1.7298793510083053,2.0996245487186833
2023-12-29,1.8729109222882099,2.1954837939213285
2024-01-31,1.8756141269430122,2.2304498716449506
2024-02-29,2.019804666012492,2.3468502698725815
2024-03-29,2.0718207493297807,2.4235965007126565
2024-04-30,1.9471540565430205,2.3258783577824826
2024-05-31,2.046167257947812,2.4435203386281885
2024-06-28,2.014508039393006,2.5297283502108856
2024-07-31,2.0060841098703532,2.5603609106281398
2024-08-30,1.9676542459136102,2.6201851467350914
2024-09-30,2.015546033530559,2.6752209179151225
2024-10-31,2.0184110289862365,2.6513484069554982
2024-11-29,2.183097659957017,2.8094578410497597
2024-12-31,2.069284128376234,2.741861691722944
2025-01-31,2.189124182062786,2.8154983171935073
2025-02-28,2.146386257125721,2.779756322754413
2025-03-31,2.1060264313310735,2.6248704844076878
2025-04-30,2.1345397129908084,2.6021120954147263
2025-05-30,2.259614688797757,2.7656420833935935
2025-06-30,2.39284253876107,2.9077575232020028
2025-07-31,2.4369962794394637,2.974727666920405
2025-08-29,2.507682014376788,3.0357677038318505
2025-09-30,2.6971923481118796,3.1439030030236412
2025-10-31,2.743708485145195,3.2188455208045834
2025-11-28,2.80168167536857,3.2251220888367427
2025-12-31,2.945011212658838,3.2276941868455826
2026-01-30,3.24649698058331,3.2752630813192436
2026-02-27,3.384134603021248,3.2469584158900555
2026-03-31,2.9800703155675006,3.0866250831119486
2026-04-30,3.3657784936831106,3.4108832422050024
2026-05-29,3.608882443125379,3.5903834704392317
